"","0","0 | 1","14400","14400 | 1","28800","28800 | 1"
"V583_EF0002_dnaN_at",3322.37682924357,4935.56660221865,1854.7383972205,1957.77601043198,1985.10554508301,2922.52570771022
"V583_EF0003_at",1762.00218749223,1003.62180131008,2694.87006725941,2425.38826107624,1773.02848618426,1694.91827932816
"V583_EF0004_recF_at",1396.88738291646,1392.0545197125,2236.4580776871,1906.88219101231,1647.42834368904,1007.80443856261
"V583_EF0005_gyrB_at",850.401304669075,1224.51947189875,1435.16410785868,1563.97311791176,1039.01444769882,939.663239486837
"V583_EF0006_gyrA_at",2844.58011804695,3304.00464577383,3519.12245226367,3555.90237225387,2462.65702174347,2632.10257913728
"V583_EF0007_rpsF_at",4857.50578958724,6737.51096289251,4435.86578647419,5056.76843783593,5442.29709453931,3743.05362013962
"V583_EF0008_ssb-1_at",7337.12932938423,8719.32053465792,6714.20094576654,7018.75777346412,6950.9767307747,5910.23590138523
"V583_EF0009_rpsR_at",699.897575394207,1257.20134032902,381.621859020524,547.228667500036,682.175910447115,393.440046409731
"V583_EF0011_at",1856.0244495715,3821.70313333476,1343.70432470217,1371.93840888611,1363.40645195404,1648.57064984806
"V583_EF0012_rplI_at",4264.02446411412,6970.27567211758,4701.80828715009,5618.61955006709,3204.75865799275,7116.73598075391
"V583_EF0013_dnaB_at",1047.69276900806,1140.14373706617,1858.59923008954,1449.1588201745,1441.14521633321,1415.40577948527
"V583_EF0014_purA_at",1073.42077492933,1634.91509525842,1024,1258.07306797635,741.344344258335,1908.20439921617
"V583_EF0016_at",1036.85612272691,1329.8059291954,1544.58119852706,1731.73204454915,901.385229888667,1256.3302167079
"V583_EF0017_at",544.579928521311,985.01371357673,930.588791243285,974.825378301472,1599.05073685994,974.825378301472
"V583_EF0018_at",389.640545494876,417.02787229195,570.071868533087,368.62241753976,383.74389804942,300.245747003361
"V583_EF0019_at",2547.73586595526,2469.49443111068,2017.00647505009,3178.21277910981,3084.88287566605,1178.71563911963
