"","0","216000","540000","972000","0 | 1","216000 | 1","540000 | 1","972000 | 1","0 | 2","216000 | 2","540000 | 2","972000 | 2","0 | 3","216000 | 3","540000 | 3","972000 | 3","0 | 4","216000 | 4","540000 | 4","972000 | 4","0 | 5","216000 | 5","540000 | 5","972000 | 5"
"thrL",565.6,612.2,1373.5,5860.2,656.7,1452.5,677.4,2908.3,92.9,126.8,675.3,1512.7,5329.2,2400.2,5845,13120.6,2850.9,1334.9,2845.4,2512,668.9,639.6,1181.9,841.1
"thrA",221.9,384.5,756.5,797.9,423,603.5,732.1,802.9,56.2,133.4,266,165.5,214.3,330.5,613.9,792.9,425.4,642.6,688.1,1081.5,218.3,259.3,279.6,316.4
"thrB",207.2,389.1,558,752,239.9,361.1,546.9,505.8,50.9,118.7,128.2,75.5,202.7,299.9,553.9,528.6,513.5,518.7,492.7,737.1,164.4,119.2,181.9,189.5
"thrC",542.1,597.8,1381.7,1025,628.4,656.1,607,792.3,105.6,193.7,304.7,161.6,546.4,689,901.5,590,618.1,740.7,737.7,582.1,366,261.9,321.6,316.3
"yaaX",NA,NA,NA,NA,NA,NA,NA,NA,15.1,7.2,75,44.5,NA,NA,NA,NA,NA,NA,NA,NA,57,45.5,20.4,10
"yaaA",429.2,613.5,860.2,341.9,593.7,689.2,552.7,531.3,73.9,62.7,147.6,106,277.3,534.3,590.8,338.4,494.2,533.9,1353,590.4,110.9,164.4,100.8,90.8
"yaaJ",201.6,346.1,713.4,392.7,364.1,452.4,583.2,449.3,35.9,73.7,183.1,62.8,161.5,250.3,166.4,395.9,345.2,436.2,553,535.4,131.4,165.3,205.1,126.4
"talB",5072,10972.7,9548.8,3727.9,4420.2,4324.9,3913.6,3066.2,1417.8,1676.7,2451.9,747.9,4767.4,11358.4,9041,2142.3,7921,7130,2761.2,1696.2,3798.9,2976.2,1877.7,987.7
"mog",1454,1218.2,1507.3,1285.4,1938.4,1284.1,1296.1,1390.5,356.4,448.7,590.3,247.7,1388.4,1336,1154.8,1191.1,1353.3,1916.2,1201.9,1218.1,792.8,713.1,427.8,339.6
"satP",1746.8,421,481.1,772.3,4822.7,795.7,558.8,874,153.3,116,126.4,173.7,1221,430,409,529.2,694.5,451.7,467.5,667.6,152.5,205.7,145.5,184.8
"yaaW",NA,NA,NA,NA,NA,NA,NA,NA,58.5,48.5,72.3,52.8,NA,NA,NA,NA,NA,NA,NA,NA,104.3,112.2,85.6,92.9
"mbiA",53,81.2,69.1,126.6,219.5,251.7,160.8,92,7.9,6.8,14.5,16.3,68,54.7,57.7,60.6,221.9,180.1,279.3,186,11.3,21.6,31.5,16.4
"yaaI",179.8,231.3,257.6,275.3,353,415.7,103.3,229.5,41.3,38.3,63.1,45.8,155.1,213.6,118,173.7,330.4,259,93.2,300.4,47.8,46.8,78,53.4
"dnaK",4194,4158.4,8905,2786,6518.1,6047.1,2181.4,6347.5,1001.7,495.4,873,634.8,5739.1,4681.2,3774.9,2989.3,11528.9,2489.5,2065.9,3499.8,1343,1879.6,708.9,1147.4
"dnaJ",2008.7,1257.3,2529.5,1906.3,2469.4,1103,1220.8,2835.2,712.9,320,612.9,360.3,2199.9,1746.3,1410.3,1047.8,3678.9,1356,1076.8,1695.8,689.4,1018.6,455,802.9
"insL1",NA,NA,NA,NA,NA,NA,NA,NA,788,537.8,475.3,402.3,NA,NA,NA,NA,NA,NA,NA,NA,948.9,991.1,610.3,505.5
"mokC",113.9,178.3,181.9,522.9,328.5,269.2,236.2,229.4,36.4,45.1,144.1,103.9,183.4,155.7,218.6,398.3,480.3,342.6,396.6,323.6,69.4,58.8,135.5,116.1
"nhaA",6073.8,4927.1,6159.9,11377.7,7408.2,3515.5,4957.8,11158,1374,1457.4,2355.1,2604.8,6847.1,4790.7,7154.1,7253.1,4476.1,7014.8,5871,6968.3,1966.8,1765,1946.8,3255.1
"nhaR",1880.8,829,1217.8,1723.3,1997.8,888.6,713.6,1398.8,429.6,451.7,477.1,533.6,2099.4,1550.3,1630.2,596.3,2005.3,1627.6,1147.5,911.5,896.5,655.8,600.1,582.8
"insA1",NA,NA,NA,NA,NA,NA,NA,NA,312.8,576.4,408.2,331.1,NA,NA,NA,NA,NA,NA,NA,NA,1244.8,682.8,589,672.3
"rpsT",13859.4,4594.2,604.7,832.1,45466,4161.2,1272.9,1606.1,3283.7,3277.7,707.1,974.7,18390.7,12132.2,9168.6,831.4,17995.8,9947.1,1884.2,1017.4,3901.6,3024,878.3,650
"yaaY",NA,NA,NA,NA,NA,NA,NA,NA,8.6,9.2,67.6,62,NA,NA,NA,NA,NA,NA,NA,NA,66.5,12.3,49.5,83.3
"ribF",1741.7,1776.7,1489.8,1139.9,2501.9,1441.8,1259.8,2008,560.6,375.2,520.9,399.9,1438,1532.6,1364.5,600.3,1484.4,1420.6,1212,1674.8,1029.6,724.9,383.3,429.7
"ileS",2154.6,1685.6,1536.8,875.4,3565.5,2210.9,1718.2,2076.4,597.7,600.8,606.4,294.5,1452.8,1532.2,1324.6,487.7,2734.4,3023,1167.2,1019.2,1538.2,967.7,449.8,440.3
"lspA",1108.5,839.9,601.9,1032.3,1439.5,832.3,724.9,861.4,494.1,297.2,263.2,162.6,608.4,668.2,530.5,401.5,1123.9,891.7,638.9,483,532,698.3,320.6,246.4
"fkpB",1221.1,1049.8,709.5,811.9,1230.6,971.5,750.2,1029.1,395.6,214.5,358.9,179.3,923,1131.3,974,261.8,1258,1145.6,713.1,678.4,696.7,577.5,250.8,280.9
"ispH",1051.8,970.2,795,390.9,1223.1,932.8,857.2,630.3,332.6,229.3,296.4,164.7,827.4,1096.1,1003.8,268.1,1302.7,942.3,496.4,645.1,562.9,530.5,173,140.5
"rihC",215.5,1257.8,1760.2,412.9,372.5,1370.2,989.9,582.5,148.3,244.9,452.3,103.6,186.2,497.6,980.6,466.5,775.8,1284.5,749.4,513.4,382.8,303.7,294.9,111.2
