tf,mean,median,range,standard deviation
tyrR,9.133365675348834,9.164062992295332,[3.582439459434856, 13.996965760024828],3.32429091136527
cynR,7.4087471648492205,4.75808588785277,[-0.007496052830204294, 28.405192545469905],8.57259228492994
marR,1.3314026016741465,1.145346486826453,[-0.00026017308819439676, 3.074924184852883],0.9312431264369943
cspA,2.4432023573739627,-4.856182184421822,[-5.933187145834367, 62.540858200360915],20.169723612569342
metR,121.24903122802908,105.27224620310267,[72.79828160665, 189.34174124871808],40.528198553142175
hns,99.08067963584352,109.154126806413,[-8.049013142366878, 132.42528431635833],38.20259490804799
gcvA,11.296897059982028,8.679077596615288,[3.7161536204987096, 30.250397537845828],7.312384321099084
crp,9.588852893199295,10.630581331180856,[8.850834942938987e-09, 21.09862829607072],7.0088347722401085
narL,38.87920225554706,32.61156828117085,[24.081780238650147, 100.11256467237024],21.546575150435533
dnaA,21.56737725664375,24.075379219420544,[5.235156368084466, 28.28773100127123],7.2779500923801015
ompR,99.9923302921652,109.99226719302031,[1.1571815454042224e-08, 156.15742435550322],48.87956487990869
galR,0.0,0.0,[0.0, 0.0],0.0
fadR,-3.0071283720036037,-3.3568130721612865,[-5.7529065073337184, 1.5950267402998222],2.400639999306263
tus,-7.963237119223127,-8.342843342424302,[-11.62241324797062, 0.001450185785702703],3.1834448226560847
purR,18.562472135338144,16.256980291521415,[9.833644831005412, 52.714341180291825],11.74639186279904
arcA,100.03415020655552,96.96195541797246,[49.23407517450539, 235.390547368872],51.302921893276775
cytR,52.43977816480037,49.56604487953389,[36.99543888558732, 105.78367178829598],18.666183509232546
torR,16.264621402407457,15.38039941910278,[-1.2190908093968293e-09, 26.69522538449819],8.53773330512005
modE,35.195107975743696,39.51275901283685,[8.917335040859447e-09, 54.439151420133825],14.503501655217958
cpxR,1094.9693042570982,662.1466768863371,[59.527341845702026, 3116.656496184655],1093.1426854689967
pdhR,-1.8364955095123698,-6.182459274655249,[-7.599675394997778, 42.26094013036513],14.658802561648951
malT,143.55039350002946,140.5712429894814,[100.04011120044339, 202.19864230860185],31.403176602063596
iclR,9.096999916000243,8.33696101626155,[7.843506230343564e-10, 14.824671324633421],4.1202757874708595
argR,-4.676918751438965,-7.097626351356355,[-8.642386374782422, 20.79117645954946],8.498687721772004
phoB,91.83989167692837,78.3318278605911,[45.391411410374815, 297.2256646700276],69.41982809050124
