"","0","0 | 1","900","900 | 1","900 | 2","2100","2100 | 1","2100 | 2","2100 | 3","0 | 2","0 | 3","900 | 3","900 | 4","2100 | 4","2100 | 5","2100 | 6","0 | 4","0 | 5","900 | 5","900 | 6","2100 | 7","2100 | 8","2100 | 9","0 | 6","0 | 7","0 | 8","900 | 7","900 | 8","900 | 9","2100 | 10","2100 | 11","2100 | 12","2100 | 13"
"aas",8.844704735,8.808504475,8.845740622,9.12793219,8.771875926,8.909456656,8.875797902,8.790788837,9.244637288,8.885492197,8.954656743,9.064235444,9.360466177,8.880317363,8.874670383,8.999663111,8.939990429,8.839807608,9.01798539,9.195766025,8.833056009,8.831442034,8.98911352,8.875134829,8.842834627,9.10062482,8.634871939,9.135318564,8.773256405,8.930671647,9.090992284,8.865586516,8.918810143
"aat",8.593516057,8.643984351,8.370926675,8.522009061,8.31298102,8.568880611,8.580854169,8.688979251,8.947992622,8.609626037,8.709188414,8.573350616,8.394363447,8.669280065,8.842785853,8.643045614,8.683724824,8.713151664,8.479780099,8.74326135,8.54286841,8.715243471,8.449380741,8.478555337,8.710485575,8.582881195,8.37803204,8.702655562,8.236547817,8.484373291,8.75123687,8.545547661,8.683013659
"metN",9.500062496,9.425541332,9.174658479,8.266556019,8.954676006,8.426798546,8.724720199,8.86527794,8.514424671,9.316240923,9.794894483,9.239483265,7.866546457,8.824860121,8.810232978,8.743384913,9.751513349,9.470027621,9.156187898,8.746068639,8.599176071,8.513813473,8.79510909,9.299487497,9.397495929,9.278678353,8.493099816,8.697259431,9.200558121,8.464293757,8.72560919,8.571028925,8.254133358
"abrB",7.828360926,7.902132552,8.008576973,7.78803621,7.614740463,7.873126901,7.911551947,7.986750836,7.837248008,8.025937844,7.804286932,7.762941599,7.92694751,8.096756634,7.846169361,7.82653072,7.713602135,7.950672558,7.937369326,7.893461046,8.01351788,7.722063424,7.960177752,7.800611216,7.928460492,7.7378015,7.988430917,7.887985132,7.920693247,7.986971591,7.704761112,7.894231014,7.745950377
"accA",10.40907878,10.63110145,10.00247652,10.21518354,10.08912261,9.924182877,10.34777429,10.03701517,10.22452782,10.44764374,10.77354252,10.2960699,9.556509426,10.41128038,10.31490001,9.99193131,10.68448797,10.58092603,10.61479199,10.18192034,10.37801367,10.3117613,9.564885084,10.71128457,10.7184006,10.44961841,10.0702782,10.315782,10.35545579,10.38733703,10.44284427,10.16882803,9.970140544
"accB",13.03372341,12.88558289,12.84635741,11.91042951,12.93057587,12.89581515,13.07098254,13.03495771,12.32553831,12.87770094,13.03167366,12.92427071,12.07538628,12.84709492,12.95714833,12.89052473,13.09078961,12.94512081,12.69516816,12.00125711,12.82598143,12.64757553,13.35082119,12.76570485,12.87625432,12.87537537,12.18191166,12.2881561,12.84944111,12.63921688,12.99493342,12.78951447,12.14750914
"accC",11.21909026,11.25090898,10.62761988,9.690717407,10.74502344,10.66301383,10.97919437,10.56362354,10.35631477,11.58617144,11.17547939,10.8067301,9.477478745,10.73264403,11.15110816,10.69905379,11.18258177,11.18200166,10.95598825,10.02245056,10.6473917,10.89368995,10.06623007,11.58993868,11.303835,11.11129266,10.5859993,10.09882813,10.91286485,10.9834105,10.89933126,10.70657896,10.33917259
"accD",11.00367561,11.07470137,10.85713523,10.60048335,10.72232508,11.08185114,11.0632181,10.85953631,10.53887975,11.36159131,11.23723812,10.85523294,10.72577501,11.38866618,11.4512509,11.02926634,11.07971012,11.18605041,11.10445608,11.09765315,11.05195303,11.27763439,10.70828277,11.36815623,11.2520217,10.93724483,10.90348399,11.1325355,10.80142153,11.35370765,11.34186261,10.7896194,10.14179359
"aceA",7.69939468,8.109509784,8.233713152,11.45950826,7.837441829,9.163154627,9.620089481,8.049614317,8.096309255,8.104118292,7.737266989,8.077061483,11.61042358,9.493126957,9.459601952,9.385412241,7.583915199,8.038390913,8.333222351,11.85294867,9.240566416,9.682173193,8.670675856,7.852229482,8.048706093,7.934837361,9.31215866,11.11618661,7.731732172,9.345144171,9.87751278,8.959839933,8.062758662
"aceB",8.599733803,8.96662478,9.408914927,12.08734073,8.264583597,9.972338241,9.925869472,8.560179231,9.185492507,9.093483168,8.664360388,9.313769412,12.63550904,10.18620158,9.834420754,10.61026042,8.599473204,9.011150362,9.826368852,12.493167,9.995648559,10.06052593,9.816383104,8.580976819,8.915671498,8.751200025,10.74426636,11.76558664,8.547880436,9.987952685,10.49253802,9.727502871,8.763186893
"aceE",13.58138294,13.71840504,13.31909942,11.96674144,13.34412487,12.1678254,11.76482672,13.21996518,12.87812359,13.57708752,13.70119208,13.39965409,12.29129579,11.90676104,11.87565867,12.43382881,13.60116624,13.5013612,13.56323068,12.38929108,11.93842025,11.5713,12.75996733,13.5323975,13.78226502,13.54480464,12.82976074,12.17811283,13.55929364,12.61533896,11.94607975,12.65973442,12.99470896
