"","0","300","300 | 1","300 | 2","3300","3300 | 1","3300 | 2","2100","0 | 1","0 | 2","0 | 3","300 | 3","300 | 4","300 | 5","3300 | 3","3300 | 4","3300 | 5","2100 | 1"
"mrr",8.535939091,8.556395929,8.851526641,8.576962272,8.504376916,8.811099289,8.642549796,8.68438294,8.0957834,8.334765575,8.494646092,8.375946563,8.734916392,8.603439052,9.042264503,8.544190026,8.572275515,8.359431614
"pdeF",4.852060927,4.649813908,5.211578178,5.215947132,4.891214128,4.239009386,4.683930195,4.786116819,4.895059201,4.855880227,4.567355897,3.632357656,4.758091739,5.065823554,4.704846326,4.431665124,5.073252446,3.896098183
"ycfK",5.696863288,5.495812211,5.458891213,5.953662181,5.552665629,5.878584806,5.552794164,4.900053872,5.633227694,5.365279406,5.663766953,5.522848198,5.447586287,5.880677567,5.278818656,5.503077911,5.560746004,5.521605915
"yfbN",4.091783057,3.62170323,4.158524511,4.182063509,4.002210277,4.898009758,5.014366882,4.158524511,3.887938875,3.83253114,4.148683985,4.115872564,4.519417162,4.482610827,4.146710133,4.160928454,4.791876505,3.944128533
"ggt",7.187719505,7.316299533,6.957103623,7.393093376,7.758741663,7.399529593,7.589486954,7.379217296,7.234829474,7.10353178,7.133921609,7.192865003,6.59559649,7.209260449,7.781611882,7.733434784,7.398188698,7.728292622
"yajO",9.076502022,8.782540111,9.026149956,8.992384923,9.062730149,9.2526062,9.464964167,9.372560714,8.907845772,8.799094351,9.102648045,8.780400486,9.116171714,8.999766788,9.032996811,9.027022278,9.50705271,8.983545126
"ygeK",2.790240645,3.124706019,3.101609859,2.88930494,3.22941813,2.949453319,2.709651287,3.100617478,3.029601902,2.968369813,2.977927775,3.0237915,3.300508305,3.101708271,3.027738628,2.831375484,2.700510683,3.690682044
"rimO",10.58253932,10.86768461,10.64546809,10.1018438,9.735660163,10.10477483,9.929803494,9.666721974,10.27139114,10.30912784,10.51265981,10.66159589,10.51904141,10.3055931,10.38346863,10.10652962,10.23484572,9.724687547
"frc",6.076148743,4.963105668,5.534189481,5.922536602,5.1409227,5.335502403,5.918786102,5.058569501,5.734730518,5.456756746,6.033696901,4.739656573,5.544228957,5.984454269,5.378602499,5.458822127,5.455495549,5.991932728
"speF",4.317706408,4.570185378,4.339169794,4.332200538,4.441328481,4.132360325,4.260805479,4.30137961,4.638526217,4.097643621,4.132360325,4.294825116,3.971300336,4.211285212,4.631305626,4.103589156,4.066250875,4.518971216
"nanS",4.990725687,5.195435291,5.306052711,4.766890849,5.349824583,5.195705866,5.065868759,8.137828997,5.178676884,4.973548117,5.254672168,4.889405429,4.83120528,5.232836358,5.362401433,5.102070282,5.13970689,6.079473255
"rnc",11.58376759,11.97833736,11.73076454,11.6435892,11.39843706,11.42806404,11.29473187,10.8865064,11.40873521,11.55465028,11.70175125,11.96926976,11.80696204,11.60531965,11.53194744,11.42238502,11.45031174,10.72767233
"slt",9.526127215,9.091328606,9.278753013,9.498599842,9.326870642,9.546467002,10.12355416,9.860982024,9.600757261,9.530580296,9.502406317,9.069759319,9.029789638,9.602542445,9.894214682,10.01833254,10.13736522,10.33746597
"fkpA",11.34734157,11.31541803,11.42427865,11.3912772,11.23436305,11.57617229,11.48138116,11.41499638,10.86510586,11.02681977,11.07649633,11.25697796,11.38177026,11.07896297,11.66175567,11.43360029,11.93069376,11.71533204
"yecF",10.10648109,9.53452352,10.30962238,10.19797894,8.568526903,9.919553215,9.511915438,9.040522174,9.631225843,9.629838514,9.819927524,9.916665952,10.87426229,9.98885428,8.751810957,8.4864646,9.363329712,9.309621781
"menI",8.811881492,8.346298208,8.577092306,8.705499117,8.537751552,9.060047957,9.086725436,8.842676866,8.768085942,8.81337481,8.837913821,8.337302029,8.538616343,8.774516298,8.696288066,8.900901269,9.001688605,8.807331679
"ftsK",10.5267428,10.14807283,10.07075326,10.20242879,9.720936482,9.901242583,10.07395429,9.251808852,10.44969947,10.69046639,10.39054971,10.02088071,9.975270713,10.22764821,9.812259722,10.11907782,10.13416802,9.14191298
"ftp",7.975059026,7.774597729,7.744940844,7.869929193,6.994752234,7.501245227,7.813924902,7.551659333,7.807169818,7.823021031,7.928434541,7.538935888,7.894626057,7.714732181,7.503691812,7.440745112,7.378166086,7.300946165
"thrA",11.6662506,11.39239029,11.30747828,11.58235259,11.17401171,10.97688591,11.03186618,9.889285069,11.51671465,11.60274907,11.82393895,11.20866432,11.02888384,11.60800981,11.56225338,11.44744189,11.11125181,10.36171203
"yghA",5.819870693,6.108121389,5.92542663,6.454059884,6.247169099,6.183550821,6.127834158,6.301601006,5.99781612,5.858464729,6.110109057,6.075920223,5.81820523,6.024999719,6.443574387,6.395115637,6.433019489,7.385570592
"yggN",10.2346003,9.837365487,10.12605908,10.16382315,9.674811685,9.916796186,10.15004909,9.626572942,10.03261843,10.04560702,10.15855361,9.898938511,10.20241282,10.19573147,9.989810712,10.12331036,10.48942891,10.08805555
"ydhL",5.613701574,5.966294048,5.414410203,5.314160639,5.641538927,5.593807702,5.751193697,6.209003225,5.515682023,5.377806384,5.252184059,5.373408165,5.568562291,5.526847373,5.692033424,5.357472326,5.674305484,5.286351082
"sokB",6.597033425,7.110045545,7.348622079,6.828483541,7.179372309,7.491752736,6.540333329,6.490337932,6.438282838,6.547312088,6.546144636,7.308296105,7.148977551,6.462182315,7.122684125,6.510916019,6.430137499,5.92719767
"ycjW",5.675270606,5.217060632,6.154498048,5.905805857,5.83384865,6.393754647,6.862078277,6.567278235,5.574219317,5.656472466,6.13412529,5.752219196,6.531378303,6.228343572,6.297958668,6.571079167,6.594520384,5.34267591
"mdtJ",8.251768687,7.861769791,7.604144855,8.567895087,7.645404085,8.1054708,8.750589597,8.575729234,7.91271729,7.992836622,8.457028826,7.668865883,8.068161707,8.961158805,7.310465584,7.648269452,7.887463989,8.123798774
"higB",8.28569957,7.448583792,8.151482629,8.510810826,7.263216355,8.130432368,8.126556127,7.739971736,8.106850274,8.016007344,8.596827894,8.208058001,8.646479375,8.735005106,7.161262195,7.476637325,7.616054073,7.563151396
"kdgR",10.20634406,10.22735039,10.60276968,10.29253451,9.967173547,10.39909343,9.998926916,10.62551286,9.810694815,9.870287891,10.16646044,10.67431091,10.72898503,10.25823405,10.1884578,9.86300152,10.15151401,10.03379036
"fau",7.294006638,6.816225463,7.587318099,6.72298461,6.573633911,6.72555036,6.985251707,7.457386224,6.927108127,7.393280756,7.369952414,6.794042467,7.49028608,7.215307952,6.749953041,6.852325941,6.924721221,6.784004633
"yqeA",6.534465822,6.130261304,6.62571446,6.578886574,6.013797459,6.441966192,6.477046972,6.624438564,6.464211047,6.232846864,6.672378048,6.445956359,6.600216551,6.887459202,6.061260529,6.261968956,6.498134626,6.93974709
"cbeA",5.386623881,5.386647514,5.266209866,5.58942221,4.899097418,5.275177851,5.157351466,5.121205977,5.719921445,5.115483295,5.346292175,4.718283414,4.773860983,5.542216169,5.182713818,5.954929896,5.421981822,4.801290973
"hycB",5.273592854,5.156261651,4.90773883,5.288816953,4.70415537,4.758098552,5.048531263,5.114017281,5.699335432,5.311412366,5.301849909,5.309943873,4.736758632,5.356937267,4.820138915,4.789589623,5.084974841,5.039579809
"grpE",12.72864376,12.63044824,12.9422439,13.30567693,12.63467571,12.89881918,12.37283663,12.47863433,12.40933092,12.63373295,12.85672792,12.80715765,13.08306741,13.06803632,12.62944555,12.43024834,12.59893884,12.8374886
"arfB",9.279976505,9.263700294,9.22375522,8.898766415,8.973685668,9.147258895,9.226462775,9.036511878,9.105700129,9.255077906,9.35701069,9.27262457,9.25937448,9.250444145,9.101192761,9.205870199,9.119154654,9.257974795
"pepA",10.96163389,10.97662458,10.90608588,10.97660291,10.88686379,10.45178312,10.53562546,10.52096866,10.8570185,10.85066596,11.13492513,10.79984295,10.47837737,10.9269466,10.89009272,10.82132419,10.41084955,9.757514367
"plsY",7.453700601,7.525394529,7.836733614,6.908943275,7.64127545,7.72432889,7.095032165,6.51891084,6.810523013,7.099170053,7.48774947,7.901506894,7.875651966,7.255966954,7.589572495,7.335060362,7.209100556,6.418151717
"ypdE",5.688800873,5.378271646,5.37214337,5.469151439,5.363408357,5.484764182,5.882149345,5.473175645,5.909210911,5.499843685,5.5417222,5.676172074,5.389786335,5.605442251,5.605646053,5.555446029,5.766106845,6.146068207
"tdcE",6.942368716,7.155531558,7.094264417,7.069863058,7.740631819,7.073162881,7.513938528,7.53306295,6.862618134,7.07836756,6.932489352,6.472075944,6.745199697,7.058951661,8.001592552,7.903499856,8.23912522,6.754956916
"fruB",11.46045567,12.18565565,12.18396742,12.17786193,8.071695849,7.079474539,7.596525833,8.470819739,11.39925787,11.6440315,11.51110968,12.24549465,12.09867585,12.08626965,7.856657859,8.057352612,6.950341742,8.327090473
"osmB",8.072462707,7.325015617,7.908386853,8.029057795,7.513046989,7.838940987,8.004614683,6.902441061,7.423546857,7.803315202,7.889590418,8.837231759,9.406471734,8.826622156,10.04226303,10.16848899,10.27118282,12.6533567
"yoaF",8.45950223,8.399823429,8.39945255,8.316025712,8.361356687,8.675157705,8.270061685,8.170961487,7.987965363,8.368640011,8.306775648,8.279325828,8.569511232,8.231516631,8.407975172,8.374279506,8.509037142,7.824344842
"yhcN",11.41181999,10.33976416,10.41784099,11.26520722,8.762556759,9.868430291,9.703243378,9.112297243,11.00507113,10.85613823,11.27775301,10.41443579,10.45039538,11.21053862,8.86118822,8.848574747,9.581540852,10.46020036
"ybbA",8.027120905,7.708260701,7.619681883,7.932541131,8.015120997,8.031293815,8.217776098,7.735782071,7.831114484,7.938259926,8.046512851,7.730940327,7.508002395,8.003981661,8.395525593,8.520178354,8.307227422,7.395019098
"ryeA",7.372684935,7.978647232,8.760882932,7.502713684,8.504687889,9.078897727,8.238912289,9.257923509,6.844750278,6.727668289,7.020317587,8.73154634,9.387342252,7.723772469,8.618938163,8.046959686,8.544792253,8.303276673
"ygcW",3.676030172,3.728037555,4.054604621,4.033497937,4.006684982,3.937093112,4.741736477,4.529041024,3.756998324,3.745978518,3.858052834,3.985150337,3.864356012,3.681003432,4.513950166,4.635597602,4.474900354,4.755333744
"ftsP",9.692550205,9.496883431,9.772034434,9.243507279,9.363268088,8.989521685,9.31993917,8.93706247,9.387748818,9.533633683,9.646369411,9.376785686,9.478415965,9.562705584,9.342542223,9.474349345,9.134926918,8.469298729
