"","0","0 | 1","600","600 | 1","0 | 2","0 | 3","600 | 2","600 | 3"
"groL",NA,NA,NA,NA,NA,NA,NA,NA
"ftsL",NA,NA,NA,NA,NA,-1.0786,NA,NA
"sfsA",NA,NA,NA,NA,NA,NA,NA,NA
"ybcY",NA,-0.0638,-1.8339,-0.3635,NA,0.3095,NA,-0.5264
"aat",NA,NA,2.0124,NA,-0.7496,-0.1967,NA,0.0713
"ymjA",NA,NA,1.3791,NA,NA,0.784,NA,NA
"aroH",NA,NA,NA,NA,NA,0.2264,NA,-0.7501
"yehL",NA,NA,NA,NA,NA,-0.5811,NA,NA
"amiA",NA,NA,NA,NA,-0.5883,1.0106,NA,-0.1639
"yffR",NA,-0.5085,1.6754,NA,NA,0.9752,NA,-0.2903
"ygeW",NA,-0.6645,1.4245,NA,NA,1.0297,NA,-0.0927
"rsmB",1.1213,-0.567,0.1189,-0.194,-0.2023,0.8081,NA,-0.0716
"yibI",NA,NA,NA,NA,NA,0.9323,NA,-0.1126
"malE",NA,-0.4463,1.72,NA,NA,1.31,4.0941,-0.1358
"gapA",0.7999,0.3504,-1.4722,-2.2819,NA,2.228,3.472,-0.1316
"2984456",NA,NA,NA,NA,NA,NA,NA,NA
"2984477",NA,NA,NA,NA,NA,NA,NA,NA
"rsmA",NA,NA,NA,NA,NA,-0.9898,NA,NA
"ybaM",NA,NA,2.1822,NA,NA,-0.7685,NA,NA
"clsB",-0.0057,NA,0.827,NA,0.5786,1.0624,NA,0.6003
"dhaM",NA,-0.4816,NA,NA,NA,-0.9928,NA,-0.736
"ydgC",NA,-0.5349,-0.2357,NA,0.3234,1.1655,NA,-0.6302
"hisA",1.5988,NA,0.667,0.5056,-1.5977,-0.5949,NA,0.0908
"yfcP",NA,-1.1232,NA,NA,NA,0.8516,NA,-0.6484
"yfdC",NA,-0.6494,1.667,NA,NA,1.4671,1.8429,-0.1761
"ygcS",NA,NA,NA,NA,NA,1.2938,NA,-0.3128
"ispB",1.1756,-0.2339,-0.2278,0.1946,-0.1843,1.1637,1.56,0.3476
"arsB",2.0474,0.6027,0.232,0.7202,NA,0.7774,NA,-0.0638
"glpF",-1.2255,-1.4129,-0.3298,0.8099,NA,NA,NA,3.1014
"hsdR",0.6885,0.1255,2.0819,NA,NA,1.3242,NA,NA
"2984876",0.665,-0.344,-0.1963,NA,NA,2.4726,NA,NA
"murI",NA,NA,NA,NA,NA,NA,NA,NA
"dnaK",NA,NA,2.0637,NA,NA,-2.9421,NA,NA
"dksA",NA,NA,NA,NA,NA,NA,NA,NA
"tfaD",NA,-0.7242,NA,NA,NA,-0.557,NA,-0.6951
"infA",1.0315,1.5753,-1.2432,0.3564,-1.4068,0.813,-2.4666,0.1131
"sapA",-0.4728,2.7815,-0.7445,-2.5692,-1.7403,NA,-5.5153,-0.1991
"ppsR",1.4886,NA,0.3143,NA,NA,-0.3415,NA,-0.1071
"yehI",1.0356,NA,0.3565,0.4553,0.0681,-0.4128,-2.2482,0.2478
"ypeA",NA,-0.554,1.1825,NA,-0.2235,0.8962,NA,-0.0718
"yffQ",2.0217,-0.1766,1.5065,NA,NA,1.2043,NA,-0.1148
"ygeV",1.2439,-0.4746,-0.2453,NA,NA,0.1067,NA,-0.0585
"fmt",NA,-0.7876,1.6928,NA,NA,0.4693,NA,-0.2834
"yibH",NA,0.8865,0.7915,NA,NA,0.5963,NA,-0.5708
"malF",1.1698,0.3404,0.5355,1.2796,NA,1.3955,1.2808,0.1909
"2986640",NA,NA,-1.0934,-1.2188,NA,1.0955,-2.9187,-0.4012
"2987984",NA,NA,NA,NA,NA,NA,NA,NA
"2988005",NA,NA,NA,NA,NA,1.352,NA,NA
"apaG",1.1544,2.3553,-0.7791,-0.8643,-0.9612,-0.5158,NA,-0.1791
"mscK",NA,NA,0.4771,NA,0.4285,-1.0666,NA,-0.5943
"ybhN",0.852,NA,4.5352,NA,4.0227,-0.8389,4.0854,1.1177
"treA",NA,0.9455,-1.8047,-0.9582,NA,0.0413,NA,-0.0903
"folM",NA,-0.8834,1.5725,NA,-1.1891,-0.3075,NA,-0.2971
"hisH",1.7821,0.426,0.5431,0.1644,-1.1715,-0.2941,NA,0.3972
"yfcO",NA,-0.6463,0.6355,1.2222,-1.7538,0.4852,NA,0.2547
"mlaA",NA,-0.6717,1.2909,NA,NA,0.6257,NA,-0.5189
"ygcR",NA,NA,NA,NA,NA,1.1721,NA,-0.6011
"rplU",1.2876,-0.2123,-0.3326,0.4517,-0.9802,0.2482,-0.9441,-0.038
"arsR",1.4231,-0.2091,1.4691,NA,-1.2541,0.9218,NA,-0.2882
"glpK",0.5053,0.7573,0.6394,0.515,NA,0.4674,NA,-0.4271
"hsdM",0.4929,0.1891,1.8356,0.209,NA,1.9356,NA,-0.4702
"2988404",1.4428,0.4274,-0.8415,0.0406,2.066,3.0215,4.2835,0.866
"2982693",NA,NA,NA,NA,NA,NA,NA,NA
"2982714",NA,NA,NA,NA,NA,-0.5366,NA,NA
"tsf",NA,NA,NA,NA,NA,NA,NA,NA
"cueR",NA,-0.0776,1.3009,NA,NA,-0.3019,NA,NA
"ycaL",NA,1.0117,-0.3726,0.4625,-1.2168,-0.5448,NA,0.0994
"ompG",NA,NA,1.1863,NA,NA,0.4923,NA,0.2938
"ydjM",1.611,NA,0.9367,NA,-1.6698,-0.4097,NA,0.4083
"wcaK",NA,NA,NA,NA,NA,NA,NA,NA
"eutT",1.3172,NA,-0.7708,0.2037,NA,0.707,NA,0.6139
"ypfH",0.0388,-0.4124,NA,NA,-0.0959,0.6842,1.2073,0.3288
"xerD",NA,-1.3625,NA,NA,NA,-0.2484,NA,-0.5026
"mtgA",NA,-1.5063,1.9841,NA,NA,1.2658,NA,-0.4778
"waaL",NA,-1.3546,NA,NA,NA,1.3572,NA,-0.2692
"uvrA",NA,0.3475,0.9265,1.6962,NA,0.8136,NA,NA
"2983113",1.4499,2.5318,0.6561,1.57,NA,0.0472,NA,NA
"2984457",NA,NA,NA,NA,NA,NA,NA,NA
"2984478",NA,NA,NA,NA,NA,NA,NA,NA
"leuL",NA,NA,NA,NA,NA,NA,NA,NA
"ppnP",0.0507,1.1734,-2.2314,-2.1558,1.9753,0.4241,3.8558,0.6211
"rhtA",NA,NA,NA,NA,NA,-0.6717,NA,-0.3532
"narX",NA,NA,0.1395,NA,NA,-1.034,NA,-0.6683
"rsxG",NA,NA,NA,NA,NA,-0.258,NA,-0.2772
"fliL",NA,NA,1.3189,1.2636,-1.4362,-0.6614,NA,0.0374
"yfdO",NA,-0.1435,NA,NA,-1.0725,0.9644,NA,-0.0948
"yfdV",NA,0.0315,NA,NA,NA,0.7686,NA,-0.6904
"ppnN",0.769,0.2591,-0.6182,-0.666,NA,0.567,NA,-0.7774
"cyuP",NA,-0.6493,1.07,NA,-0.3134,1.2458,NA,0.2109
"kdgK",-1.1194,0.8919,0.2592,-4.151,-1.612,-0.1302,-1.9836,0.4556
"pflD",NA,0.9875,NA,NA,0.2344,NA,3.9847,0.819
"yjjU",NA,-0.8451,NA,NA,NA,1.0074,NA,-0.7889
"2984877",1.0745,1.3364,-0.4248,NA,NA,-0.321,NA,-1.787
"2986221",NA,NA,NA,NA,NA,NA,NA,NA
"2986242",2.1821,NA,1.3803,NA,NA,-1.8668,NA,NA
"rpsB",NA,NA,NA,NA,NA,NA,NA,NA
"ybaT",NA,-0.4566,0.0894,NA,NA,-1.9335,-2.4494,NA
"aroA",0.8589,2.1851,-0.4167,-0.7464,-0.1705,-0.8607,NA,-0.0126
"ycjV",NA,NA,0.3295,NA,NA,0.8953,NA,-0.8281
"hxpB",NA,NA,1.8056,NA,0.3627,-0.4585,NA,-0.0291
"wcaL",NA,NA,-0.128,0.6091,-0.6695,-0.0656,-0.2062,0.219
"eutD",NA,NA,1.7505,NA,NA,0.8569,NA,-0.2932
"dapE",2.8696,2.659,6.3147,3.7648,NA,NA,NA,NA
"dsbC",NA,-1.3962,NA,NA,NA,0.2561,NA,-0.2265
"yrbL",NA,-1.0118,0.8872,NA,1.0897,1.2733,2.4435,0.502
"waaC",0.3452,-0.3527,-0.0541,0.254,-0.2668,0.2182,-1.5173,-0.147
"yjbR",0.8113,0.5915,-0.5581,NA,NA,0.9745,NA,-0.0399
"2986641",0.4131,0.4479,-1.833,-0.8433,NA,1.2584,NA,-0.6671
"2987985",NA,NA,NA,NA,NA,NA,NA,NA
"2988006",NA,NA,NA,NA,NA,NA,NA,NA
"leuA",0.3707,-0.2977,-0.4672,0.5358,1.6271,0.3956,1.8881,0.4556
"aroM",NA,NA,-1.2052,0.2684,NA,1.2536,NA,-0.463
"dps",NA,NA,1.9668,NA,NA,-0.7456,NA,-0.3948
"narL",1.3451,NA,0.6424,1.027,-1.2101,-1.0939,-1.691,-0.3509
"rsxD",NA,NA,-0.094,1.5631,-1.4964,-1.6871,NA,-2.1503
"fliK",0.9368,1.2833,0.7099,0.8721,-1.4029,-0.6588,NA,0.1196
"yfdN",1.0916,-0.1668,0.5796,0.9792,-1.5202,0.3062,NA,0.3481
"yfdE",0.7526,-0.3474,1.4082,1.2465,-1.1679,0.1822,NA,0.1073
"queF",0.5021,-0.0705,NA,NA,NA,1.3756,NA,-0.2197
"cyuA",-0.1468,-1.0903,-1.5764,-1.1658,NA,1.3831,NA,-0.253
"pdeH",0.2536,0.7424,-0.2066,-0.4211,-1.344,-0.0071,NA,-0.0039
