"","0","120","300","600","1200","1800","2700","3600"
"ppdD",NA,NA,-7.1,-4.4,-1.3,-1.2,-5.3,NA
"yafE",-1.9,1,-13.9,-1.5,-1.3,-1.1,-2.7,-1.5
"betB",-2.4,NA,-9.9,2.5,-1.8,-1.1,-5.3,-1.7
"nhaR",-2.2,-1,-12.4,3,-1.3,-1.1,-2.4,-1.7
"coaE",1.2,1.7,-8.1,2.9,1.3,1.2,-1.2,1.2
"gmhB",-1.2,1.2,-3.1,2.6,-1.1,1.1,-1.7,-1.3
"insL1",1.2,2,-9.7,-2.2,1.2,-1.3,1.3,1.3
"secM",1.8,2.1,-14.6,-18,1.6,1.8,1.2,1.3
"rcsF",1.3,1.9,-11.2,-3.8,1.1,1.7,-1.1,-1.1
"ykgE",-3.4,-1.3,-6.5,1.6,-1.6,-1,-1.7,-2.2
"mbiA",NA,-3.4,-9,3,-3,NA,-4.9,NA
"ftsQ",-1.3,1.4,-7.8,3,-1,1.1,1.1,1.2
"nlpE",-2,-1.1,-3.8,3,-1.3,1.2,-2.3,-1.2
"talB",NA,-1.4,-10.4,4.1,-2.3,NA,-3.1,-1.4
"tilS",-1.6,1.1,-2.2,-1.5,-1,1.2,-3,-1.2
"eaeH",-2.2,NA,-3.9,-3,-1.2,1.1,-3.7,NA
"thrC",1.2,1.6,-12.2,1.4,1,-1.1,-1.4,-1
"murF",-1.6,1.1,-7.9,1,-1.5,-1,-2.4,-1.3
"dnaE",1.1,2,-4.8,1.5,1.2,1.6,1.1,1.2
"ecpA",-1.9,1.3,-5.2,1,1,1.2,-1.3,-1.1
"ribD",1,1.6,-8.8,1.3,1,-1,-1.4,-1
"citT",-1.3,-1.1,-7.8,-1.3,-1.3,-1.3,-2.4,-1.3
"ybgD",-2.7,-2.2,-17.7,-1.4,-2.5,-1.3,-5.4,-2.4
"yajD",-2.4,-1.5,-12.8,1.4,-2.6,1,-2.1,-1.7
"hyi",-3.1,-2.5,-6.1,2.5,-2.2,-1,-4,-2.7
"ybdR",-1.9,-1.3,-9.1,-1.2,-1.2,1.4,-1.7,-1.5
"abrB",NA,-2.6,-13.3,-1.2,-2.2,1.1,-4,-1.8
"tgt",1.1,1.7,-12.8,1.5,1.3,1.9,1.2,1.1
"allS",NA,-1.8,-9,-1.1,-2,1.1,-4.4,-2.3
"dsbG",-1.5,1,-11.8,1,-1.2,1.5,-2,-1.1
"pxpB",1.1,1.5,-8.1,1.3,-1.2,1.7,-1.4,-1.1
"proY",-1.6,1,-3.6,-3.9,-1.4,1.1,-3.3,-1.3
"ybdL",-2.5,-1.4,-7.9,-1.3,-2.1,-1.3,-3.6,-1.6
"ybgA",-1.1,1.6,-4.8,1.7,1,1.1,-1.9,1.2
"sbcD",-2.3,1.1,-5.4,1.1,-1,1.1,-2.7,-1.2
"ybbP",-3.3,-1.4,-6.3,-1.1,-1.6,1.1,-4.5,-1.6
"entA",-1.9,-1.2,-5.6,1,-1.4,1.1,-3.7,-1.8
"mak",-1.3,1.1,-5.6,-1.7,-1.5,-1.4,-1.2,-1
"cnoX",-1,1,-6.1,-1.7,-1.8,-2.1,-2.9,-1.3
"fepB",-2.8,-2.8,-6.8,1.4,-2.5,-1.3,-3.1,-2.7
"kdpB",-3,-2.4,-6.8,-2.6,-2.2,-1.2,-4.5,-2.9
"ybiW",-3,-2.6,-6.3,-1.3,-2.4,-1.4,-4.7,-3.5
"elyC",-2.2,-2.2,-4.3,-1.4,-1.2,1.1,-2.5,-1.6
"efeB",-2.9,-2.1,-6.4,-1.5,-2,-1,-2.9,-2.3
"cobB",1.1,1.3,-2.1,1.4,-1.1,1.6,-2.7,-1.1
"ldtB",-2.2,-1.4,NA,NA,-1.8,1.1,-2.8,-1.8
"ycaQ",-3.3,-1.6,-4.8,-2,-2.4,-1.1,-3.3,-2.1
"putP",-1.3,1.3,1.1,-2.7,1.1,1.3,-1.7,-1.1
"lolC",-1.3,1.1,-1.6,-2.4,-1.4,-1.1,-2.7,-1.3
"opgE",-3.5,-1.5,-3.3,-1.9,-1.6,-1.2,-3.4,-1.8
"ihfB",1.3,1.7,1.5,1.9,1,-1.1,-1.6,1.2
"rutB",-2.2,-1.1,-1.5,-1.4,-1.5,-1.2,-3.5,-1.9
"bhsA",-3.2,-1.2,-1.5,-1.3,-1.3,-1.1,-2.3,-1.5
"glnH",2.1,1.9,2,2.7,1,1.2,1,1.1
"rutF",-1,1.1,-1,-1.3,-1.7,-1.3,-2.6,-1.4
"ycfP",1.6,1.7,1.1,2.1,-1.1,1.1,-1.9,-1
"rlmF",-2.3,-1.7,-2.5,-2.7,-2.1,-1.1,-2.6,-2.3
"ycaP",-1.8,-1.5,-1.6,-1.7,-1.2,1.1,-2.4,-2.2
"yccJ",1.3,1.5,1.5,2,-1.1,-1,-1.6,1
"ycfL",-1.2,-1.2,-1.1,1.1,-1.4,-1,-1.7,-1.1
"ybiI",-3.5,-2.1,-4.3,-1.8,-2.8,-1.4,-2,-2.4
"pflA",-1.4,1.1,-1.4,1.1,-1.3,1.1,-2,-1.5
"cbpM",-1.3,-1,-1.2,1.3,-1.3,1.2,-1.9,-1.4
"ycfH",1,1.5,-1.1,1.9,1,1.5,-1.1,-1.1
"chaB",-1.2,1.1,-1.3,1.6,-1.6,-1.3,-3.3,-1.3
"ycjQ",-4,NA,-5.2,-6.3,-2.6,-1.4,-5.9,-1.9
"hrpA",-1.2,1.1,-1,2.6,-1.1,-1.1,-2.2,-1.5
"ychQ",-1.2,1.5,1.2,1.7,-1.1,1.1,-1.2,1
"ycjM",-3.8,-1.2,1.1,2.6,-1.4,-1.1,-2.6,-2
"ynbB",-3.6,-2.3,-3.1,1.2,-1.5,-1.1,-5.4,-2.6
"ydeT",-2.7,-1.4,-2.1,1.5,-1.1,-1,-2.3,-2.1
"lolB",1.4,1.7,1.2,2,1.1,1.5,-1.3,-1.1
"pspB",1.6,1.9,1.5,2.2,1.5,1.8,1.1,1.8
"ydeR",-1.8,-1.5,-2,-1.1,-1.4,-1.2,-3.5,-2.1
"ychH",-1.4,1.7,-1.1,-1.2,-1.5,1.4,-1.4,-1.3
"puuB",-3.2,-3.2,-3.4,-1.1,-1.4,-1.3,-4.5,-2.2
"paaY",-2,-11.6,-1.8,1.1,-1.3,-1.1,-1.1,-1.7
"ydeO",-2.9,-1.9,-4.5,-2.8,-2.4,-1.4,-3.6,-2.2
