"","0","0 | 1","0 | 2","0 | 3","0 | 4","900","1800","2700","3600","5400","0 | 5","0 | 6","0 | 7","0 | 8","0 | 9"
"mtlR",0.813943185070435,1.18427161185363,1.53794083127027,1.33978360242784,1.47938750924884,0.93432734688318,1.20580782769076,1.07773314504367,0.955282936382437,1.55617035311084,0.874178620410373,1.2074805914865,1.01255480735049,0.962594443101751,0.907519155317161
"melA",0.609205131837596,0.944747040997206,1.04898932757495,0.826450318154212,0.944747040997206,1.24487423538217,1.07698637619305,1.3660402567544,1.27544439167854,1.6437603745897,0.801625329399394,1.12740041214542,1.00486382042379,0.967276329613932,0.56330961424864
"phoQ",0.989656656415207,0.905006462882905,0.989656656415207,0.905006462882905,0.989656656415207,1.10496448479991,1.01045144648676,1.10496448479991,1.01045144648676,1.10496448479991,0.989656656415207,0.905006462882905,0.989656656415207,0.905006462882905,0.989656656415207
"relA",0.657927262514504,0.70270935010336,1.39377723868747,1.38319062901096,1.13445548493595,0.863339558574412,1.0747491728555,1.14472416059868,0.880259013563151,1.13997327269346,1.16150873192572,1.08522937188181,0.836826242683391,0.953298545288159,0.742261785314525
"lexA",0.667111584838885,0.79829838635665,1.25788497183602,1.00975129759669,0.989656656415207,1.30495494768896,2.32301746385144,2.12284641789959,3.07588166254054,3.62504775306934,2.87587306569391,2.44020102054445,2.85600795937013,2.97729051033308,3.30809347377306
"yahB",0.820741608810498,0.90814841772151,0.996540262827868,0.542238704421532,0.920187650624875,1.82386633103954,0.977385766410805,1.44593229454575,1.48041329800005,1.89211529345119,0.608783009331493,0.742261785314525,0.696405740334518,0.759435844907265,0.508387336645978
"bglG",0.893785162356787,0.88884268116657,0.900001929793512,0.552865326660134,1.06437018245336,1.78015146650499,1.03096831879479,1.57461595313841,1.75564359521904,1.68763159226004,0.759435844907265,0.868742185150623,0.623300597137549,0.824733548610081,0.457549584063964
"treC",0.73866903179128,1.00416754323897,0.875998315067126,0.647521499427212,1.07400447162012,1.31676692205924,0.90187537838225,1.28431580898943,1.18673679765653,1.36131411649947,0.772710549647987,0.94409241915025,0.657471380102535,0.769503610080431,0.507683050434715
"ycjW",1.01255480735049,0.859160754947185,0.951318276331799,0.646176415318746,1.15268634679886,1.64718203453515,1.12896440480613,1.4329616503731,1.36037085240596,1.69349062472505,0.771640087529467,0.90125046261083,0.639936206922154,0.856188284546457,0.499307333050514
"rpoN",0.990342871933025,1.15108949132776,1.62000694726409,1.36414783487935,1.51256799728396,1.11187915751711,0.90814841772151,0.965267024871757,1.02313746973443,1.32500701704521,1.28698924730127,1.3332986770912,1.28520633746937,1.19499120485678,0.964598184584138
"soxR",0.757333157938488,0.883315051481465,1.03239853548324,0.730016005327261,1.13053056712459,1.55509207176512,0.919550046151658,1.42207741058727,1.28966825065589,1.39474366635041,0.679714120953369,0.959264119325264,0.73662384290824,0.936921446872426,0.508387336645978
"prpR",0.847919964633148,0.930449657703015,1.12194348053048,0.819604607637517,1.2033030259995,1.13602926478669,1.19747870461893,1.35660432744767,1.18673679765653,1.57898777340111,0.804966137621122,1.10419884716309,0.820741608810498,0.993092495437036,0.563700206072711
"rbsR",0.883927531063671,0.826450318154212,1.00416754323897,0.809442216547408,1.11419365081933,1.19250887233063,1.00905163384468,1.11883710103571,1.06510820339342,1.21251281906174,0.785128118673572,0.928516852306729,0.758383772687221,0.782411781736511,0.515841589650679
"idnK",0.752101875694344,0.786217292140332,1.1313144628459,0.864537231307865,1.07326028639345,1.56049096034741,0.950000382874886,1.43395524801583,1.50838007668658,1.32225460514257,0.731535610352163,0.883315051481465,0.799405830352472,0.859756486243006,0.470413053756894
"relB",0.777546035882558,0.90814841772151,1.05995278339728,0.982139595263391,0.994470168673214,1.29683955465101,0.971980987981352,1.32592576029866,1.16634936978847,1.3764956015907,0.794434400096105,0.905006462882905,0.853817714391245,0.761544369851631,0.554400321801535
"sspB",0.796640096285583,0.846745312362527,1.13209890211067,0.866336856400087,1.01466254658088,0.885767519102361,0.788946840852465,0.954621014139717,0.906890328933143,1.23114441334492,0.978063473447339,0.947370070599268,0.920187650624875,0.944747040997206,0.587230985606827
"creC",0.789493886700555,0.844986384412514,1.13053056712459,0.778085176555419,1.08522937188181,1.36037085240596,0.986232704493359,1.57352489070713,1.35660432744767,1.63920921527503,0.820741608810498,0.962594443101751,0.891310495896971,0.891310495896971,0.490049707670935
"thiL",1.03096831879479,0.871758239537062,1.30044014654848,0.903752726751086,1.29235283063749,1.24228828178444,0.997231251352069,1.36225803464049,1.18838310505693,1.97520172289075,0.932386486436833,0.970634469769547,1.0747491728555,1.07103082319145,0.891310495896971
"rhaA",0.662962880149329,0.884540435331541,0.982139595263391,0.848507901705896,0.950000382874886,1.1149662187277,0.988970916380931,1.19581979677612,1.36983297996557,1.5822746023709,0.751059963470465,0.807760777609608,0.89316585235276,0.883927531063671,0.545253866332629
"uxuA",0.842646829503152,0.7791645796605,1.14869835499704,1.0111520808513,1.20163604952685,1.01536610086943,0.827023368443266,1.20497231499479,1.05044454401075,1.36225803464049,0.778624691061662,0.813379198132126,0.845572287377517,0.79608809877878,0.613442488626902
"rspA",0.850274160064196,1.00208160507963,0.993092495437036,0.958599438492977,1.03741993656561,1.20497231499479,0.964598184584138,0.861546159712017,1.64034582239345,1.775222674539,0.757333157938488,0.882702996290655,0.946713631236714,0.831622098374906,0.599154510669709
"crp",0.68968046091353,0.975355461527642,1.02882670789358,1.28164792416019,0.9246632781137,0.622437117691085,0.782411781736511,0.448133349784702,0.74535519339946,0.925946022527324,1.46611675718921,1.44894215455488,1.15428541751684,1.30767134853676,1.00069338746258
"ribF",0.656560562712076,0.909408251800733,1.42701450571788,1.24746557191405,0.900001929793512,0.794985250948974,0.71648082518655,0.652929893544459,0.925946022527324,1.20246924889818,1.16150873192572,1.2337071698095,1.03526492384138,1.09126387705493,0.855595025682602
"allS",0.47139226795912,0.980099415341871,1.01325690015909,0.988285651500733,0.587230985606827,0.864537231307865,0.81281560198432,0.727490341817379,1.38031735339663,1.19997138237322,1.00695555005672,1.07773314504367,0.802737388715953,0.786217292140332,0.378666578969244
"rfbX",0.834509281155409,0.918276162300924,0.834509281155409,0.918276162300924,0.834509281155409,1.08899701533611,1.19830902133942,1.08899701533611,1.19830902133942,1.08899701533611,0.834509281155409,0.918276162300924,0.834509281155409,0.918276162300924,0.834509281155409
"yfgH",0.561360711036804,0.917004043204671,0.977385766410805,0.802737388715953,0.786217292140332,0.9246632781137,0.751580739032781,0.9246632781137,1.27279493527594,1.42602571736414,0.811689580977279,0.879649075922436,0.835666958921853,0.897510050667261,0.461371246326899
"dacB",0.820172911196726,0.915099168127928,0.820172911196726,0.915099168127928,0.820172911196726,1.09277773910095,1.2192550940763,1.09277773910095,1.2192550940763,1.09277773910095,0.820172911196726,0.915099168127928,0.820172911196726,0.915099168127928,0.820172911196726
"yiaD",0.679243142274472,0.904379377561088,0.957935218222696,0.813943185070435,1.02030465924846,1.43594451062344,0.88148015790717,1.04030026652199,1.19333574303172,1.30948542308357,0.910669833591978,0.84968499913865,0.823020345278708,0.953959550547558,0.50733127329044
