"","0","300","600","900","0 | 1","300 | 1","600 | 1","900 | 1","0 | 2","300 | 2","600 | 2","900 | 2","0 | 3","300 | 3","600 | 3","900 | 3"
"thrL",-1.94,-0.56,-0.55,-0.39,-0.36,-0.18,-0.71,-0.21,-0.06,-0.54,-0.26,-0.31,0.03,0.02,0.28,0.21
"thrA",-0.98,-0.56,0.3,0.09,-0.04,-0.33,-0.68,-0.69,0.53,-0.13,-0.55,-0.43,-0.1,-0.19,-0.38,-0.16
"thrB",-0.97,-0.53,-0.05,-0.13,-0.2,-0.81,-0.85,-0.63,-0.03,-0.38,-0.95,-0.7,0.5,0.19,0.16,-0.02
"thrC",-0.84,-0.39,0.22,0.63,-0.37,-0.22,-0.72,-0.24,0.17,-0.02,-0.59,-0.63,-0.16,-0.16,0.14,0.02
"yaaA",0.09,-0.19,0.08,-0.23,-0.08,0.12,0.23,-0.27,-0.43,-0.14,-0.12,0.16,-0.04,0.18,-0.17,-0.26
"yaaJ",0.16,0.22,0.11,0.12,-0.63,0.17,-0.36,0.01,0.03,0.18,0.1,0.29,-0.02,-0.15,-0.1,-0.04
"talB",0.45,0.42,0.58,0.53,0.62,0.4,0.83,-0.63,-0.24,0.13,0.31,0.04,0.02,0.06,0.14,0.32
"mog",0.13,0.43,0.27,-0.15,0.38,0.22,0.56,1.21,0.06,0.18,0.28,0.04,-0.22,0.33,-0.19,0.17
"satP",0.15,0.9,0.13,-0.08,0.59,0.33,0.14,0.17,-0.1,0.42,0.13,0.06,-0.3,-0.01,-0.17,-0.03
"yaaW",0.12,0.1,0.26,0.03,-0.17,0.13,0.15,0.19,-0.13,0.04,0.07,-0.08,0.22,0.21,0.41,0.27
"mbiA",0.19,0.05,0.35,0.1,0.15,0.18,0.21,0.55,0.09,0.09,-0.04,0.1,0.3,0.45,0.2,0.22
"yaaI",-0.31,-0.22,0.06,0,-0.02,0.13,-0.01,0.31,-0.22,0.11,0.09,0.24,0.27,-0.07,-0.17,-0.34
"dnaK",1.37,-0.51,-0.95,-1.14,2.71,2.36,1.45,-0.3,1.66,1.18,0.14,-0.6,-0.24,-0.07,-0.48,-0.32
"dnaJ",1.13,-0.58,-1.06,-0.64,1.67,1.35,0.97,-0.61,0.52,0.78,0.38,-0.14,0.05,0.24,0.28,0.21
"insL1",0.05,-0.35,-0.55,-0.65,0.39,0.43,-0.05,-0.69,0.37,0.4,-0.02,0.01,0.04,0.02,0.3,0.44
"mokC",0.06,-0.42,0.04,0.01,-0.01,0.3,0.08,0.82,0.22,0.32,-0.01,0.17,0.2,0.17,0.16,-0.06
"nhaA",2.42,1.6,1.48,0.48,1.03,1.94,1.91,0.28,0,-0.06,0.35,0.29,0.23,0.47,0.53,0.43
"nhaR",0.71,0.32,0.48,-0.01,-0.2,0.35,0.1,-0.08,0.11,0,0.23,0.09,-0.01,0.03,0.19,0.24
"insB1",0.01,-0.14,0.22,-0.17,-0.53,0.34,-0.47,-0.48,0.08,0.13,0.32,0.17,-0.06,0.51,-0.06,-0.09
"insA1",-0.03,0.05,0.05,0.04,-0.36,0.41,-0.07,0.06,0.15,0.17,0.51,0.2,-0.23,-0.08,-0.37,0.06
"rpsT",-0.33,0.01,-0.03,-0.32,-0.15,-0.27,0.02,-0.4,-0.55,-0.72,-0.17,0.16,-0.49,-0.24,0.06,-0.34
"ribF",-0.39,-0.28,0.17,-0.13,-0.47,-1.02,0.36,0.14,-0.9,-0.87,-0.74,-0.09,-0.32,-0.12,-0.09,-0.01
"ileS",-0.75,-0.37,-0.31,-0.54,-0.46,-1.4,-0.7,-0.69,-0.56,-1.06,-0.74,0.21,-0.06,-0.12,-0.23,-0.29
"lspA",-0.28,-0.09,0.04,-0.32,-0.36,-0.97,-0.56,-0.4,-0.54,-0.62,-0.63,0.34,0.23,0.18,-0.02,-0.05
"ispH",-0.51,-0.6,-0.2,-0.45,-0.27,-0.51,-0.71,-1.35,-0.31,-0.87,-0.67,-0.1,0.31,0.26,-0.12,-0.2
"rihC",-0.21,-0.14,-0.07,-0.04,-0.01,-0.28,-0.32,-0.2,-0.31,-0.31,0.07,0.1,0.01,0.1,-0.12,-0.37
"dapB",-1.15,-0.51,-0.35,-0.79,0.01,-0.28,-0.5,-0.2,-0.33,-0.7,-0.45,-0.05,-0.34,-0.52,-0.48,-0.32
"carA",-2.24,-1.08,-1.13,-1.62,-0.68,-3.02,-2.38,-1.4,-0.68,-1,0.34,1.85,0.54,-0.19,-0.07,0.16
"carB",-2.37,-0.81,-1.04,-1.62,-0.31,-2.29,-2.18,-1.71,-0.47,-0.64,-0.1,1.15,0.64,-0.09,0.1,0.05
"caiF",-0.73,-0.2,-0.13,-0.13,0.02,-0.6,-0.77,-0.64,0.07,0,0.17,0.4,0.09,-0.12,-0.24,-0.06
"caiE",0.16,0.05,0.18,-0.01,0.09,-0.2,0.53,0.47,0.18,0.17,0.12,0,-0.07,-0.16,-0.26,-0.11
"caiD",0.3,0.37,0.34,0.39,0.36,0.44,0.65,0.44,-0.24,0.38,-0.27,0.07,0.68,0.01,-0.03,0.01
"caiB",0.43,0.67,-0.03,0.05,0.19,0.29,0.81,1.15,-0.02,0.24,0.23,0.14,0.46,0.25,0.2,0.09
"caiA",0.2,0.3,0.19,0.02,-0.07,0.08,0.36,-0.08,0.21,0.09,0.09,0.28,-0.01,0.11,1.79,0.08
"caiT",0.28,0.21,0.27,0.14,0.12,-0.11,0.07,0.48,0.15,0.12,-0.15,-0.07,0.55,-0.01,0.11,0.06
"fixA",0.52,0.35,0.5,0.18,0.3,0.02,0.4,0.68,0.58,0.2,0.59,0.19,0.22,0.25,0.18,0.03
"fixB",0.23,0.5,0.46,0.35,0.4,-0.41,0.89,1.13,-0.17,0.61,0.29,0.32,0.06,-0.17,-0.01,0.01
"fixC",-0.12,0.14,0.09,-0.04,0.39,0.03,0.24,0.67,0.57,0.6,0.44,0.23,-0.17,-0.12,-0.3,-0.1
"fixX",0.45,0.19,0.08,0.32,0.01,-0.13,0.02,1.21,-0.33,-0.5,-0.16,-0.67,0.27,-0.11,0.32,-0.2
"yaaU",-0.16,0.25,0.18,0.27,0.14,0.35,0.17,0.25,0.26,0.12,0.05,0.09,0.09,0.09,-0.35,0.11
"kefF",0.02,-0.63,-0.26,0.03,-0.05,0.1,-0.28,-0.1,-0.06,-0.1,-0.05,0.28,0.15,-0.2,-0.18,0.12
"kefC",-0.17,-0.63,-0.27,-0.19,-0.16,-0.07,-0.55,-0.29,-0.16,-0.76,0.33,0.3,0.59,0.12,0.33,0.1
"folA",-1.26,-0.98,-0.69,-0.39,-0.24,-0.15,-1.01,-0.35,-0.54,-0.42,-0.19,-0.32,-0.21,0,-0.17,-0.58
"apaH",-0.13,-0.54,-0.33,-0.17,-0.53,-0.73,-0.77,-0.25,0.06,0.16,-0.02,0.03,0.1,-0.15,-0.17,-0.08
"apaG",-0.06,-0.12,-0.21,-0.16,-0.42,-0.18,-0.03,-0.37,0.11,0.17,0.21,0.17,0,0.15,0.3,-0.02
"rsmA",0.21,0.31,0.17,-0.32,-0.46,-0.31,-0.04,2.11,0.34,0.34,0.34,0.56,-0.01,-0.06,0.11,0.23
"pdxA",-0.29,-0.26,0.12,-0.27,-0.54,-0.22,-0.63,-1.1,0.01,-0.05,0.13,0.15,-0.21,-0.06,-0.04,0.01
"surA",-0.6,-0.28,-0.18,-0.24,-0.49,-0.52,-0.34,-0.81,-0.66,-1,-0.75,-1.04,-0.19,-0.39,0,-0.24
"lptD",-0.62,-0.47,-0.1,0.46,-0.59,-0.31,-0.09,-0.59,-0.44,-0.72,-0.79,-0.67,-0.46,-0.5,-0.82,-0.24
"djlA",0.08,0.38,0.57,0.11,-0.46,0.05,0.04,-0.25,0.15,-0.17,-0.05,0.18,-0.3,-0.13,-0.14,0.06
"yabP",0.04,0.03,0.32,-0.2,-0.42,0.62,-0.06,-0.2,-0.05,-0.2,-0.1,0.2,0.34,0.22,0.28,0.03
"yabQ",-0.26,-0.14,-0.45,0.3,0.23,0.29,0.28,0.5,0.04,0.1,-0.03,-0.13,-0.16,-0.24,-0.17,0.03
"rluA",2,1.08,0.52,0.01,0.18,1.17,1.65,0.14,0.04,0.32,0.24,0.05,0.11,0.22,0.37,0.23
"rapA",2.26,1.23,0.74,0.27,0.87,1.67,1.85,-0.34,1.1,1.46,1.39,0.69,0.36,0.35,0.51,0.63
"polB",2.72,2.52,2.02,1.63,0.43,1.25,0.83,0.36,0.9,1.03,1,1.1,-0.04,0.49,0.58,0.57
"araD",0.15,0.41,0.15,0.32,0.09,-0.07,0.07,0.73,-0.16,-0.19,-0.07,-0.11,0,-0.17,0.03,-0.03
"araA",0.21,-0.38,-0.02,-0.06,0,0.08,0.17,0.07,0.06,-0.11,0.02,-0.05,0.16,0.5,0.12,-0.17
"araB",-0.08,-0.04,0.07,0.48,0.1,0.16,0.22,0.33,-0.08,-0.23,-0.1,-0.18,-0.18,0.25,0.01,0.05
"araC",-0.08,0.37,0.32,0.06,-0.02,0.21,0.46,-0.08,0.22,0.22,0.28,0.41,-0.1,-0.2,-0.13,-0.03
"yabI",0.09,0.47,0.05,-0.03,0.2,0.27,0.13,0.16,0.1,0.05,0.08,0,0.11,0.11,-0.12,-0.08
"thiQ",0.12,-0.03,-0.21,-0.22,-0.2,0.12,0.46,0.1,-0.31,-0.16,-0.09,-0.01,-0.03,-0.08,0.14,0.17
"thiP",0.32,-0.11,0.12,0.58,-1.17,0.46,0.12,-1.04,-0.29,-0.07,0.07,0.21,-0.12,-0.07,-0.06,0.07
"thiB",0.53,0.27,0.22,-0.4,0.42,0.32,0.94,-0.26,-0.1,0.24,0.44,0.61,-0.38,-0.56,-0.18,-0.4
"sgrR",0.46,0.29,0.36,-0.02,0.75,0.6,0.83,0.27,-0.15,-0.22,-0.13,0.05,0.22,0.04,0.16,0.08
"setA",0.08,-0.17,-0.23,0.14,-0.08,0.12,0.07,-0.18,-0.1,0.11,-0.02,-0.25,0,-0.14,0.18,-0.09
"leuD",-0.12,0.04,0.36,0.54,0.06,0.7,0.47,0.14,0.56,0.55,0.41,-0.22,-0.46,-0.04,-0.28,0.23
"leuC",-0.26,0.04,-0.09,0.38,-0.06,0.25,0.25,-0.85,0.32,0.46,0.47,0.14,0.04,0.04,0.2,0.11
"leuB",-0.09,-0.06,0.17,0.56,-0.21,0.04,0.16,-0.87,0.6,0.52,0.37,0.03,-0.01,0.15,0.19,0.22
"leuA",-0.11,-0.06,0.26,0.38,-0.42,-0.14,-0.02,-0.71,0.37,0.45,0.46,0.08,-0.14,0.04,0.23,-0.04
"leuL",0.06,0.21,0.42,-0.06,-0.13,0.07,-0.04,0.62,0.37,0.16,0.05,-0.11,-0.74,-0.08,-0.28,-0.26
"leuO",-0.25,-0.22,0.13,0.05,-0.05,0.05,-0.27,-0.04,-0.21,-0.08,-0.14,0.13,0.21,0.07,0.22,-0.1
"ilvI",-0.16,0.23,0.82,0.76,0.05,-0.08,0.16,-0.05,0.37,0.52,0.5,0.55,-0.21,0.35,-0.2,-0.16
"ilvH",-0.09,0.41,1.07,0.36,0.05,0.18,0.23,-0.11,0.31,0.36,0.41,0.14,-0.23,-0.12,-0.05,-0.18
"cra",-0.35,0.2,-0.25,-0.03,-0.48,-0.4,-0.21,-0.15,0.01,0.03,0.13,0.02,-0.14,-0.01,-0.11,-0.14
"mraZ",-0.22,-0.14,-0.09,0.23,-0.56,-0.11,-0.08,-0.01,0.46,0.6,0.52,0.74,-0.62,-0.64,-0.89,-0.44
"rsmH",0.33,-0.14,0.18,0.12,-0.25,0.2,-0.02,-0.5,0.49,0.44,0.64,0.61,-0.56,-0.17,-0.39,-0.31
"ftsL",0.06,0.19,-0.17,0.02,-0.03,0.15,0,0.01,0.48,0.34,0.47,0.32,-0.32,-0.69,-0.39,-0.15
"ftsI",-0.15,0.04,0.2,0.34,0.19,0.07,-0.2,-0.02,0,-0.09,0.18,0.62,-0.01,-0.23,-0.22,-0.23
"murE",-0.04,-0.18,-0.05,0.21,-0.05,0.03,0.1,-0.61,0.24,0.31,0.57,0.53,-0.03,-0.27,0.39,-0.08
"murF",0.19,-0.05,0.32,-0.04,-0.27,0.31,-0.12,-0.43,0.64,0.47,0.52,0.6,0.09,0.18,0.18,0.14
"mraY",0.41,0.34,-0.01,0.13,-0.03,-0.1,0.17,-0.56,0.4,0.36,0.22,0.11,-0.21,-0.08,-0.49,-0.13
"murD",-0.17,-0.16,0.12,-0.01,-0.44,-0.09,-0.18,-0.75,0.27,0.42,0.3,0.36,0.49,0.24,0.19,0.17
"ftsW",0.06,0.18,-0.05,0.14,0.2,0.11,-0.17,0.67,0.52,0.38,0.23,-0.16,-0.14,0,-0.34,-0.06
"murG",-0.55,-0.34,-0.55,-0.01,-0.05,-0.41,-0.8,-0.48,0.15,0.29,0.09,0.5,-0.2,-0.37,-0.04,-0.08
"murC",-0.25,-0.65,-0.31,-0.86,-0.61,-0.57,-0.7,-0.99,0.12,0.21,0.04,0.12,0.01,0.01,-0.19,-0.21
"ddlB",-0.79,-0.59,-0.75,-0.73,-0.08,0.05,-0.6,-0.07,0.18,-0.03,0.2,-0.24,-0.2,-0.27,-0.27,-0.15
"ftsQ",-0.3,-0.65,-0.47,-0.5,-0.29,-0.17,-0.3,-0.57,-0.18,0.34,0.33,0.29,-0.16,0.26,-0.12,-0.22
"ftsA",-0.83,-0.66,-0.21,-0.52,-0.02,-0.14,-0.19,-0.98,0.16,0.02,0.06,-0.33,-0.46,-0.45,-0.77,-0.26
"ftsZ",-0.88,-1.03,-0.93,-1.06,-0.35,-0.41,-0.53,-0.86,-0.27,-0.23,-0.25,-0.39,-0.3,-0.39,-0.21,-0.4
"lpxC",1.14,0.7,0.64,-0.1,0.59,0.82,1.14,-0.54,0.03,0.3,0.21,0.26,0,0.32,0.73,-0.03
"secA",0.33,0.2,0.08,0.31,-0.32,0.4,0.37,-0.12,-0.11,-0.02,-0.03,-0.15,0.13,0.38,0.27,0.24
"mutT",-0.08,0.48,-0.31,-0.08,-0.01,-0.01,0.11,0.14,0.07,0.13,0.06,-0.46,-0.07,0.07,0.25,0.03
"yacG",0.02,-0.11,0.01,-0.07,-0.03,-0.01,-0.08,0.5,-0.3,-0.24,0,0.23,-0.04,0.2,0.05,-0.17
"zapD",-0.49,-0.28,-0.12,-0.21,-0.44,-0.28,-0.58,-0.13,0.13,0.02,0.03,0.04,-0.21,-0.11,-0.34,-0.1
"coaE",-0.21,-0.02,-0.16,0.12,-0.75,-0.37,-0.42,-0.19,-0.16,0,0.05,0.33,0.01,-0.01,1.54,0
"guaC",-0.79,-0.39,-0.55,-0.88,0.22,-0.69,-0.51,-0.41,-0.4,-0.57,-0.16,-0.24,-0.38,-0.15,0,-0.31
"hofC",-0.19,0,-0.23,0.07,0.08,-0.26,-0.59,0.1,-0.16,-0.15,-0.11,-0.08,-0.04,0.03,0.2,-0.02
"hofB",-0.32,0.18,0.17,0.19,0.2,-0.2,-0.34,-0.13,0,-0.18,0.02,0.04,0.01,-0.1,-0.27,-0.01
"ppdD",-0.15,0.27,0.15,-0.12,0.02,0.15,-0.03,0.04,0.03,0.05,-0.01,2.01,0.13,-0.05,-0.01,-0.37
"nadC",-0.59,-0.45,-0.37,-0.27,-0.48,-0.84,-1.05,-0.94,-0.57,-0.64,-0.51,-0.44,-0.31,-0.56,-0.53,-0.4
"ampD",-0.16,-0.23,0.01,0.46,-0.06,-0.23,-0.14,0.31,-0.21,-0.45,-0.25,-0.22,-0.32,-0.41,-0.44,-0.06
"ampE",-0.23,0.04,0.15,-0.09,-0.32,0.03,-0.79,-0.39,-0.39,-0.82,-0.26,-0.28,0.01,0.19,0.06,-0.36
"aroP",-0.54,-0.02,0.15,-0.15,-0.57,-0.8,-0.71,-0.99,-0.63,-1.28,-1.54,-1.18,0.05,-0.12,0.31,-0.09
"pdhR",0.14,0.43,0.23,-0.1,-1.41,-1.39,-1.12,-0.32,-0.58,-0.61,-0.59,-0.19,-0.41,0.23,0.02,-0.05
"aceE",-0.52,0.27,0.27,0.19,-0.04,-0.8,-0.4,-0.33,0.08,-0.86,-0.76,-1.05,-0.2,-0.4,-0.08,-0.3
"aceF",-0.6,0.08,0.47,-0.06,0.35,-0.44,-0.42,0.15,0,-0.64,-1.02,-1.12,0.01,-0.08,0.96,-0.15
"lpd",0.11,0.49,0.25,0.47,0.57,0.24,0.3,0.13,0.22,0.16,0.29,0.37,0.32,0.58,0.8,0.31
"yacH",-0.23,-0.17,-0.1,0.22,0.01,-0.3,-0.47,-0.79,-0.26,-0.35,-0.33,-0.34,-0.08,-0.32,-0.36,-0.21
"acnB",-1.7,-1.5,-0.72,-1.09,-0.45,-1.22,-1.54,-2.26,-1.15,-1.88,-1.91,-1.62,-0.38,-0.36,-0.32,-0.53
"yacL",0.45,0.37,0.44,-0.05,0.29,0.51,0.65,0.24,-0.29,-0.04,0.29,0.33,-0.19,0.04,-0.03,0.21
"speD",-0.63,-1.09,-1.44,-0.73,-0.17,-0.38,-0.64,-1.63,-0.13,0.01,0.04,0.24,-0.01,0.14,0.18,0.23
"speE",-0.93,-1.1,-1.16,-0.88,-0.59,-0.45,-1.14,-1.22,-0.29,-0.16,-0.05,0.32,-0.01,-0.13,-0.17,-0.32
"yacC",-1,-1.07,-0.92,-0.19,-0.99,-0.68,-1.55,-1.19,-0.33,-0.15,-0.1,0.12,-0.02,0.28,-0.3,-0.01
"gcd",-0.07,0.01,-0.05,0.19,0.18,0.23,0.14,0.18,-0.09,-0.2,-0.09,-0.1,0.04,0.11,0.47,0.12
"hpt",0.32,0.51,0.17,0.02,-0.09,0.36,0.32,-0.06,-0.15,-0.33,0.39,0.02,0.4,0.08,0.08,-0.05
"can",-1.07,-0.83,-0.8,-0.66,0.04,-0.34,-0.34,-1.39,-0.45,-0.86,-0.89,-0.96,-0.2,-0.3,0.08,0.08
"yadG",0.28,-0.22,-0.64,-0.36,0.05,0.63,0.66,0.19,-0.06,0.17,0.09,-0.09,-0.23,0.11,0.22,0.41
"yadH",0.35,0,0.08,-0.18,-0.01,0.71,0.66,-0.37,-0.08,-0.01,-0.31,0.01,0.2,0.26,0.01,0.1
"yadI",0.04,-0.47,-0.29,0.06,-0.23,0.14,-0.17,-0.03,-0.15,0.03,-0.04,0.25,0.4,0.23,0.35,0.06
"yadE",-0.2,-0.3,-0.23,-0.04,-0.14,0.61,-0.11,0.37,0.19,0.36,0.03,0.11,-0.12,-0.05,-0.08,0.12
"panD",-0.64,-0.29,0.07,-0.4,-0.54,-0.68,-0.44,-0.22,-0.22,-0.72,-0.7,-0.71,-0.44,-0.08,-0.04,-0.07
"rpnC",0.43,-0.49,-0.4,0.13,-0.45,-0.64,-0.01,-0.13,-0.2,-0.06,-0.22,-0.24,0.09,0.35,0.17,0.14
"panC",-0.13,-0.27,0.22,-0.19,-0.24,-0.02,0.04,-0.18,-0.24,-0.35,-0.52,-0.34,-0.14,-0.19,-0.16,0.04
"panB",-0.09,-0.46,-0.03,-0.31,-0.37,-0.98,-0.35,-0.28,-0.26,-0.29,-0.46,-0.29,-0.21,0.12,0.27,0.05
"yadC",0.6,0.14,0.48,0.14,0.08,0.11,0.74,0.62,0.15,0.52,0.56,0.42,-0.23,-0.16,-0.12,-0.08
"yadK",0.06,0.31,0.45,0.06,0.27,0.27,0.48,0.41,-0.08,0.55,-0.33,0.28,0.73,0.04,-0.13,-0.26
"yadL",0.4,0.23,0.21,0.46,0.13,0.05,1.1,0.45,0.03,0.02,0.07,0.35,-0.18,-0.06,-0.17,0.06
"yadM",0.31,-0.03,0.63,0.1,0.41,0.27,0.78,0.55,-0.26,0.09,0.03,0.29,0.21,0.51,0.46,-0.09
"htrE",0.02,-0.18,0.09,0.12,-0.02,-0.01,0.02,-0.14,0.23,0.11,0,0.48,-0.05,0.26,0.61,0.39
