"","0","0 | 1","0 | 2","0 | 3","0 | 4","21600","21600 | 1","21600 | 2","21600 | 3","21600 | 4"
"pdeF",0.7507,0.563,0.7148,0.759,0.7236,0.8897,0.857,0.8175,0.7962,0.7992
"ggt",0.9353,0.9596,0.9012,0.8284,0.8526,0.9549,0.8172,0.8404,0.9199,0.8363
"yajO",0.4985,0.634,0.7012,0.5805,0.5476,0.635,0.5321,0.5412,0.4444,0.5484
"rimO",2.881,2.5784,3.2475,2.7913,3.0436,2.8897,3.0332,2.9688,2.9021,2.8203
"frc",0.9194,1.0098,0.9293,0.9549,0.8854,1.1372,0.8039,1.1409,0.8212,0.7208
"nanS",0.6298,0.4666,0.5874,0.6124,0.762,0.5801,0.8131,0.7463,0.8071,0.7726
"rnc",4.8918,4.6643,4.4556,4.5065,4.7053,4.381,4.803,4.4738,4.7053,4.6952
"slt",4.3376,4.5946,4.5832,4.5103,4.2198,4.7909,4.1585,4.5998,4.1228,4.1134
"fkpA",6.1703,6.3077,6.4277,6.0867,6.0701,6.0968,5.9389,6.0111,5.8864,5.9758
"yecF",3.9195,4.1941,4.4495,4.5392,4.4568,4.5653,4.0062,4.2452,3.7973,3.9304
"menI",3.5045,3.7188,3.2945,3.3922,3.5205,3.8705,3.7995,3.5196,3.7573,3.7074
"ftsK",0.8313,0.7285,0.6209,0.6371,0.8204,0.7761,0.9012,0.6893,0.8994,0.9644
"ftp",1.7157,1.7927,1.8764,1.6338,1.7789,1.8563,1.7581,2.0756,1.7508,1.7305
"thrA",4.3038,3.9792,5.3012,3.8453,4.0728,3.9057,4.465,4.2622,4.5038,4.465
"yghA",1.2999,1.2142,1.0589,0.7726,0.9466,0.9421,1.2898,0.8967,1.1652,1.3871
"yggN",4.5859,4.8964,5.0067,4.8579,4.7088,5.0639,4.6234,4.7065,4.5461,4.542
"ydhL",1.3871,1.3423,1.2909,1.0133,1.2625,1.2955,1.0377,1.1892,1.0483,1.1318
"sokB",0.6739,0.708,0.3954,0.5663,0.4685,0.5392,0.4456,0.4784,0.4384,0.6226
"mdtJ",4.6427,5.129,5.1735,5.129,5.0382,5.1008,3.674,4.4677,3.414,3.9141
"kdgR",4.1854,4.2024,4.0518,4.381,4.1828,4.2882,4.2317,4.1791,4.1759,4.3071
"yqeA",1.9375,2.1013,1.7781,2.0126,1.8006,2.3603,1.8859,2.1882,1.8661,1.9429
"cbeA",0.5304,0.7398,0.5569,0.6335,0.5682,0.6335,0.6211,0.5738,0.9901,0.5492
"hycB",0.3941,0.3487,0.51,0.457,0.4587,0.435,0.4526,0.4445,0.4792,0.3547
"grpE",6.3212,6.5546,5.9064,6.2498,6.2885,6.5913,6.1204,6.4211,6.1043,6.1463
"arfB",3.1712,3.1301,3.0525,2.6964,3.0243,2.9475,3.0157,3.0489,2.8913,3.0271
"pepA",4.7985,4.3783,4.7718,4.7225,4.6589,4.4605,4.8221,4.6559,4.7598,4.7469
"plsY",3.0821,2.2634,2.3086,2.6722,3.2044,2.0471,3.3537,2.4611,3.4132,3.4185
"ypdE",0.8952,1.1583,1.0584,0.992,0.8863,1.1803,0.9867,1.1225,1.0802,0.7746
"tdcE",0.76,0.6681,0.5265,0.6232,0.7165,0.5857,0.7122,0.6095,0.6977,0.6748
"fruB",2.24,2.1965,1.9772,2.589,2.5852,2.8829,2.3768,2.8829,2.4165,2.4805
"osmB",5.4933,5.4956,5.148,5.2587,5.6538,5.0991,5.3398,5.187,5.1108,5.3564
"yoaF",2.9957,2.8421,2.2563,2.8091,2.9332,2.7394,3.0937,2.886,3.1521,3.1871
"yhcN",2.8211,2.892,3.0157,2.6942,2.6332,2.7514,2.4411,2.7008,2.0084,2.4418
"ybbA",3.8216,3.8865,3.2044,3.4428,3.6093,3.6616,3.681,3.5891,3.7995,3.6877
"ryeA",7.6009,7.4798,6.4211,7.5173,7.6851,7.5613,7.6922,7.4874,7.6751,7.75
"ftsP",3.5261,3.5941,3.5912,3.5871,3.6271,3.4709,3.5912,3.5233,3.6471,3.5512
"kefG",3.3608,3.5861,3.5216,3.2849,3.2134,3.6848,3.071,3.5762,3.0376,3.0634
"lspA",5.1961,5.1049,5.2508,4.8204,5.0553,4.9891,5.0887,5.1658,4.9729,5.1122
"ttdT",0.7308,0.903,0.7607,0.7253,0.6312,0.7995,0.6383,0.885,0.7256,0.6501
