"","0","216000","540000","972000","0 | 1","216000 | 1","540000 | 1","972000 | 1","0 | 2","216000 | 2","540000 | 2","972000 | 2"
"thrL",565.6,612.2,1373.5,5860.2,656.7,1452.5,677.4,2908.3,92.9,126.8,675.3,1512.7
"thrA",221.9,384.5,756.5,797.9,423,603.5,732.1,802.9,56.2,133.4,266,165.5
"thrB",207.2,389.1,558,752,239.9,361.1,546.9,505.8,50.9,118.7,128.2,75.5
"thrC",542.1,597.8,1381.7,1025,628.4,656.1,607,792.3,105.6,193.7,304.7,161.6
"yaaX",NA,NA,NA,NA,NA,NA,NA,NA,15.1,7.2,75,44.5
"yaaA",429.2,613.5,860.2,341.9,593.7,689.2,552.7,531.3,73.9,62.7,147.6,106
"yaaJ",201.6,346.1,713.4,392.7,364.1,452.4,583.2,449.3,35.9,73.7,183.1,62.8
"talB",5072,10972.7,9548.8,3727.9,4420.2,4324.9,3913.6,3066.2,1417.8,1676.7,2451.9,747.9
"mog",1454,1218.2,1507.3,1285.4,1938.4,1284.1,1296.1,1390.5,356.4,448.7,590.3,247.7
"satP",1746.8,421,481.1,772.3,4822.7,795.7,558.8,874,153.3,116,126.4,173.7
"yaaW",NA,NA,NA,NA,NA,NA,NA,NA,58.5,48.5,72.3,52.8
"mbiA",53,81.2,69.1,126.6,219.5,251.7,160.8,92,7.9,6.8,14.5,16.3
"yaaI",179.8,231.3,257.6,275.3,353,415.7,103.3,229.5,41.3,38.3,63.1,45.8
"dnaK",4194,4158.4,8905,2786,6518.1,6047.1,2181.4,6347.5,1001.7,495.4,873,634.8
"dnaJ",2008.7,1257.3,2529.5,1906.3,2469.4,1103,1220.8,2835.2,712.9,320,612.9,360.3
"insL1",NA,NA,NA,NA,NA,NA,NA,NA,788,537.8,475.3,402.3
"mokC",113.9,178.3,181.9,522.9,328.5,269.2,236.2,229.4,36.4,45.1,144.1,103.9
"nhaA",6073.8,4927.1,6159.9,11377.7,7408.2,3515.5,4957.8,11158,1374,1457.4,2355.1,2604.8
"nhaR",1880.8,829,1217.8,1723.3,1997.8,888.6,713.6,1398.8,429.6,451.7,477.1,533.6
"insA1",NA,NA,NA,NA,NA,NA,NA,NA,312.8,576.4,408.2,331.1
"rpsT",13859.4,4594.2,604.7,832.1,45466,4161.2,1272.9,1606.1,3283.7,3277.7,707.1,974.7
"yaaY",NA,NA,NA,NA,NA,NA,NA,NA,8.6,9.2,67.6,62
"ribF",1741.7,1776.7,1489.8,1139.9,2501.9,1441.8,1259.8,2008,560.6,375.2,520.9,399.9
"ileS",2154.6,1685.6,1536.8,875.4,3565.5,2210.9,1718.2,2076.4,597.7,600.8,606.4,294.5
"lspA",1108.5,839.9,601.9,1032.3,1439.5,832.3,724.9,861.4,494.1,297.2,263.2,162.6
"fkpB",1221.1,1049.8,709.5,811.9,1230.6,971.5,750.2,1029.1,395.6,214.5,358.9,179.3
"ispH",1051.8,970.2,795,390.9,1223.1,932.8,857.2,630.3,332.6,229.3,296.4,164.7
"rihC",215.5,1257.8,1760.2,412.9,372.5,1370.2,989.9,582.5,148.3,244.9,452.3,103.6
"dapB",609.7,948.7,1628.5,728.3,1007.3,1418,1000,698.2,225.3,186.2,578.6,281
"carA",109.9,171.6,137.2,227.6,374.9,306.2,217.5,192.7,53.1,101.3,127.4,48.8
"carB",453.9,364.8,370.4,651.9,640.6,614.6,583.3,306.6,159.1,165.1,231.4,102.8
"caiF",83.2,127.3,687.5,128.2,224.5,324.7,387.4,199,32.2,62.6,271.2,81.7
"caiE",150.5,121.2,215.9,319.8,158.6,310.1,254.4,191.1,48.9,63.6,92,58.7
"caiD",651.1,422.2,547.6,708.8,173.7,321.3,220.6,301,68.1,179.8,102.6,63.9
"caiC",163.7,196.6,264,245,231.7,305.5,291.4,252.7,68.5,51.1,96.8,47.7
"caiB",257.1,248.9,265.5,341.6,237.3,419.7,371.3,348.4,77.8,64.3,146.3,72.2
"caiA",175,126,213.1,200.9,278,290.6,360.5,194.7,56.2,56.7,87.9,37.8
"caiT",83.7,79.5,157.5,73.1,260,488.5,312.2,129.4,36.2,20.5,69.6,30.8
"fixA",90.4,98.7,159.7,126.6,100.3,159.9,49.8,48.5,4.3,26,9.4,2.4
"fixB",240.4,276,283.5,373.1,296.8,411.7,126.8,308.7,67,73.1,87.3,46.2
"fixC",205.4,215.3,270,247.4,232.5,400.2,207,167.2,39.9,44.8,75.5,39.2
"fixX",102.8,129.3,125.8,259.1,172.6,263,73.8,252.9,68.9,32.1,90.5,34.7
"yaaU",106.7,126.6,151.8,155,182.9,317.5,176.2,233.2,8.2,10.6,7.4,16.2
"kefF",184.1,189.4,562.4,307.3,112.5,129.6,126.9,204.8,28.1,53.6,193.9,51.2
"kefC",280.5,472.4,1285.4,833.5,223.8,477.2,681.6,939.5,106.6,100,382.7,164.1
"folA",2418.9,1733,1404.4,1270.8,2781,791.9,1368.9,1557.1,721.6,562,504.3,251.7
"apaH",769.3,826.8,1231.7,1348.3,529.9,544.9,724.5,1043.7,73.6,98.9,290.6,171.1
"apaG",1105.3,1104.8,1255.8,1870.2,957.7,1279.4,2084.1,3315,534.4,277.3,1026,515
"rsmA",1104.9,724,1343.4,1139.5,1021.2,910.2,1525.7,2462.1,574.5,232.1,1172.3,621.5
"pdxA",672.2,751.1,611.4,735.9,461.8,382.7,509.9,642.9,321.6,229.9,373.6,229.6
"surA",2097,2146.9,3011.3,2714.5,1405.8,1143.1,1547.8,2440.5,999.2,567.7,1416.2,701.1
"lptD",1334.4,1472.5,1552.3,2199.8,424.4,708.4,714.9,1469.3,438.7,193.4,981.2,618.5
"djlA",858.3,618.2,765.9,629.6,1042.9,841.4,492.2,652.3,329,250.3,286.3,226.4
"yabP",261.8,227.2,182.4,446.1,363.9,142,191.7,259.8,108.1,110.6,158.9,181.7
"yabQ",465.6,246.7,653.7,1037.3,239.5,165.4,268.6,228.4,172.7,47.5,629.6,498.8
"rluA",177.3,267.4,303.8,380.5,174.8,557.6,293.3,648.4,55.8,44.9,193.2,156.8
"rapA",258.9,338.3,396.7,567.6,161.2,480.1,272.6,351.4,92.2,73.8,185.9,108.3
"polB",11.9,139.3,135,123.4,100,27.2,26.1,30.2,19.2,24.1,23.8,20.7
"araD",133.6,364.5,223.3,468.7,175.4,431.6,75.7,221.4,86.2,101.8,117.6,103.5
"araA",72.6,149.6,123.2,154,37.3,138.5,69.8,160.3,38.9,38.4,66.6,42.7
"araB",75.8,184.4,20.6,134.7,64.1,82.7,116,101.8,37.1,62.8,54,8.4
"araC",16.1,37.1,71.7,140.3,6.2,93.9,49.4,105.5,17.4,24.7,22.1,24.7
"yabI",214.9,269.3,181.6,418.6,36,58.6,104.2,118.1,116.7,107.6,17.9,62.4
"thiQ",226.8,256.8,395.9,650.1,554.2,412.1,588.5,597,128.7,120.4,192.3,119.8
"thiP",137.6,296.6,398.3,336,145.1,137.5,72.5,197.6,52.6,45.1,64,45.6
"thiB",34.5,32.4,100.5,55.3,37.8,40,46.3,42.2,15.1,17.2,47.6,24.7
"sgrR",127.2,70,102.5,177.8,14.5,42.9,60.5,97.3,29.2,45.2,62.2,31.9
