"","0","0 | 1","0 | 2","3600","3600 | 1","3600 | 2","7200","7200 | 1","7200 | 2","10800","10800 | 1","10800 | 2","14400","14400 | 1","14400 | 2","18000","18000 | 1","18000 | 2","0 | 3","0 | 4","0 | 5","3600 | 3","3600 | 4","3600 | 5","7200 | 3","7200 | 4","7200 | 5","10800 | 3","10800 | 4","10800 | 5","14400 | 3","14400 | 4","14400 | 5","18000 | 3","18000 | 4","18000 | 5"
"mrr",9.891242,10.054422,10.271131,9.733932,10.011416,9.964488,9.603353,10.129509,10.405114,10.500854,10.571286,10.700311,10.473943,10.653584,10.659093,10.552201,10.700417,10.568094,9.994993,9.946599,10.02352,10.160749,10.284779,10.25754,9.873506,10.203901,10.191649,9.924772,10.032636,10.040674,10.254035,10.312193,10.401283,9.943041,9.946946,10.102285
"pdeF",7.921183,8.408294,8.286612,8.243098,8.237055,8.1416,8.152386,8.149624,8.070108,8.115253,8.287881,8.216526,7.954855,8.245433,7.893213,8.185729,8.157208,8.343512,8.039152,8.368075,8.347411,8.228785,8.406161,8.317574,7.928539,7.94508,8.261001,8.116511,7.953465,7.873591,8.103967,7.94518,8.418085,8.029405,8.68361,9.100384
"ycfK",4.857497,4.488402,4.563835,4.711709,4.716628,4.829746,4.757343,5.206789,4.741913,4.476754,4.898604,4.613208,5.247654,4.545137,5.082558,4.876528,4.814205,4.54214,4.53006,4.280439,4.290104,4.580246,4.599547,4.719329,4.97418,4.556636,4.540814,4.62849,4.379227,4.638557,4.115871,4.353801,4.150911,4.337617,4.123963,4.372383
"yfbN",7.096329,7.199788,6.991128,6.527785,6.872079,6.940986,6.718367,6.106438,6.032296,5.872569,5.856443,5.930255,6.386067,6.036791,6.078675,5.637548,5.502802,6.804623,6.900673,7.198053,6.743497,6.615082,6.91161,6.366989,6.699832,6.269857,6.533436,6.966741,6.853274,6.678559,7.017539,6.869547,7.15609,6.411256,7.829164,8.236452
"ggt",9.370593,9.414979,10.266816,10.566021,10.397361,10.367574,9.563847,10.095081,10.362442,10.950069,10.852456,10.786884,10.663751,10.832901,10.87855,10.864698,10.560768,10.159435,9.01266,9.006359,9.606901,8.956439,8.679301,8.990149,9.319296,9.577179,9.349123,9.186293,9.639917,9.673771,9.281796,9.401123,9.467058,8.949222,9.175282,9.379466
"yajO",12.171228,12.378444,12.357063,12.555945,12.591337,12.576976,12.467894,12.757288,12.79082,12.739668,13.014322,12.990971,12.801385,12.825001,12.842641,13.103271,13.058074,12.986667,11.838782,11.831581,11.913657,12.125259,12.095447,11.985154,12.093294,12.114614,12.017035,11.787723,11.953669,12.010218,11.757609,11.985575,11.824178,11.76585,11.938153,11.991901
"ygeK",4.273409,4.667966,4.444791,3.939308,4.252666,4.721988,4.408573,3.892654,3.347291,4.541238,4.514369,4.450818,4.969649,5.045888,4.216955,3.98933,4.330215,5.636745,4.556356,5.833307,4.416463,4.249172,4.262112,3.94375,4.020604,4.567709,4.382468,5.005869,5.336589,4.668828,5.513648,5.307523,6.287594,5.214198,7.327578,7.502063
"rimO",11.776697,11.727285,11.689463,11.650309,11.667767,11.684384,10.928284,11.485508,11.701555,11.679497,11.411736,11.334834,11.378548,11.393676,11.383516,11.024888,11.010438,11.097603,12.32773,12.055771,11.81545,11.754928,11.64882,11.927249,11.390416,11.85284,12.158394,11.532545,11.716977,11.833236,11.787387,11.872535,11.881443,11.479586,11.594069,11.534951
"frc",7.353466,7.633686,7.841214,7.014632,7.347259,7.53466,7.005973,7.365798,7.338541,7.199412,7.162193,7.162892,7.222441,7.696829,7.368851,7.273238,7.322097,7.63021,7.683323,7.662252,7.675597,7.05842,7.144298,7.271246,7.331203,7.507991,7.514374,7.629284,7.693013,7.530161,7.619899,7.520016,7.654322,7.434031,8.201092,8.534977
"speF",6.433652,6.832393,6.714382,6.124514,6.780547,7.172359,6.364793,6.475165,6.128606,6.477638,6.468689,6.398311,6.676816,7.458679,6.580664,6.447602,6.579828,7.664712,6.130606,7.406108,6.377655,6.528337,6.73852,6.300949,6.218986,6.229838,6.503459,6.520395,6.888867,6.249669,6.32343,6.436533,8.3342,6.785209,8.758435,9.284595
"nanS",7.213312,7.689,7.947707,8.443776,8.303251,8.333069,8.020582,7.442635,7.611689,8.017987,7.88925,7.838366,8.299842,8.099702,7.878381,8.15045,8.227461,8.185904,7.659967,7.725682,7.666086,7.987044,7.911985,7.424265,7.676641,7.361223,7.479327,7.67696,7.826517,7.845823,8.095282,8.028623,8.305248,7.806309,8.532069,8.896809
"rnc",12.936181,12.913486,12.769443,12.33601,12.690641,12.610025,12.503095,12.537135,12.53536,12.508687,12.390628,12.429014,12.525031,12.36676,12.413576,12.390807,12.41705,12.345938,13.055338,13.107386,13.052172,12.641217,12.810813,12.830414,12.606343,12.804329,13.032266,12.824556,12.790567,12.830788,12.851021,12.958276,13.08704,12.80447,12.746132,12.715065
"slt",10.09097,10.416702,10.70689,10.782311,10.895778,10.800935,10.430104,11.222087,11.344482,11.22493,11.464562,11.448804,11.303221,11.450958,11.559761,11.173584,11.20813,11.073982,10.338362,10.244189,10.27908,11.121645,11.021595,11.026321,11.053293,11.503345,11.294037,11.065225,11.164982,11.285037,11.392095,11.332708,11.418959,11.383669,11.395594,11.184745
"fkpA",13.274608,13.391285,13.507714,12.870287,12.940205,12.897398,12.976827,12.7105,12.679138,12.885203,12.629882,12.540661,13.000344,12.814339,12.65769,12.667375,12.446338,12.444549,13.305232,13.316094,13.358826,12.949804,13.221182,13.004757,13.040682,13.107425,13.02935,13.057964,13.095092,13.059315,13.111526,13.056753,12.977031,13.202754,13.148369,13.030769
"yecF",10.776492,10.72665,10.608206,9.869059,9.894499,10.070541,9.993705,9.677609,9.604716,10.289392,9.785994,9.828241,9.375551,9.056159,9.164465,9.507882,9.62678,9.558079,11.027775,10.867691,10.727721,9.799922,9.990472,9.829169,9.647443,9.649924,9.884867,9.957906,9.693533,9.6222,9.549003,9.53908,9.511382,9.708565,9.475476,9.238162
"menI",12.116354,12.190567,12.261532,12.647542,12.476503,12.470289,12.611679,12.259678,12.305851,12.071421,12.039563,11.862084,12.155126,11.833071,11.780281,11.768598,11.742022,11.888733,12.197094,12.26262,12.428499,12.613032,12.592382,12.340137,12.529714,12.218035,11.601517,12.427221,12.37756,12.381178,12.356776,12.280962,11.769995,12.399667,12.17231,10.575863
"ftsK",13.150151,12.956694,12.641484,13.040054,12.934975,12.833485,13.114322,12.763468,12.733164,12.327276,12.324944,12.389639,12.722921,12.677171,12.655744,12.586105,12.496863,12.585392,12.938265,12.941036,12.844726,13.196673,12.932088,12.906423,13.050106,12.729978,12.596308,12.82917,12.767641,12.749806,12.792263,12.784898,12.499714,12.694325,12.400868,12.327836
"ftp",9.877612,9.995462,10.082135,9.678605,9.745417,9.837647,9.589131,9.562077,9.661641,9.1988,9.219634,9.392348,9.380105,9.304126,9.416636,9.024821,9.06321,9.241581,10.107161,10.292629,10.393313,10.290571,10.135969,10.504843,9.903855,10.125858,10.573674,9.988951,9.926852,10.054934,10.076505,9.994278,10.077855,9.791462,9.406176,9.195231
"thrA",13.142682,13.420252,13.751539,13.660034,13.674225,13.869049,13.557421,14.091171,14.168525,13.74563,14.167271,14.258575,13.973964,14.251295,14.354036,14.255478,14.349174,14.367636,13.385625,13.54558,13.782162,13.943593,13.879512,14.169558,13.966673,14.139662,14.277145,14.021258,14.072687,14.134535,14.071648,14.094537,14.215803,14.035146,14.147076,14.326369
"yghA",9.490825,8.963541,9.168634,8.607868,7.949661,8.016707,8.598096,7.938505,8.004034,8.380621,8.699613,8.813499,8.425564,8.68717,8.935459,9.073848,9.170889,8.917055,8.982371,8.335538,8.875876,8.030416,7.707617,7.800616,10.793974,11.102784,10.630141,11.220128,11.324249,10.990929,10.15674,9.996685,9.446212,9.782097,9.115142,9.239377
"yggN",12.503815,12.562421,12.4304,11.219854,11.311629,11.230136,11.495926,11.133463,11.168137,11.547871,11.327947,11.255468,11.136785,11.244068,11.220336,11.300605,11.175258,11.167288,12.654302,12.644575,12.573805,11.157848,11.144199,11.055403,11.082339,11.215446,11.413709,11.405732,11.211105,11.184417,11.350147,11.24481,11.393155,11.69826,11.599465,11.641232
"ydhL",7.464982,7.771421,7.761241,7.409047,7.476504,7.486436,7.270831,7.451395,7.591556,7.608326,8.000477,7.790627,7.713912,8.001994,7.747049,8.299916,7.764448,8.446083,7.339228,7.615488,7.307181,7.353635,7.340699,7.324682,7.213103,7.432247,7.341686,7.484428,7.410736,7.162843,7.348094,7.494418,8.106988,7.34531,8.767901,9.561642
"sokB",10.399877,10.119446,10.544612,10.648913,9.935658,10.669425,10.015033,10.388219,10.352783,10.634333,10.126548,10.350618,10.190093,10.011441,10.282523,10.061502,10.349924,10.040344,9.939168,9.99031,10.757603,10.075774,10.804194,10.586346,9.955138,10.360669,10.655661,10.382276,10.400198,10.161176,10.316561,9.480723,10.443947,10.564518,10.243981,10.440449
"ycjW",8.073718,8.226103,8.220435,7.718606,8.153309,8.233361,7.555414,7.370028,7.823938,7.699823,7.696989,7.916093,8.140358,7.984011,7.929338,8.145906,8.068072,7.766505,8.335164,8.212095,8.134402,8.600599,8.53683,8.320672,8.151889,7.865509,7.551469,7.862594,8.002025,8.193153,8.602406,8.576679,7.638027,7.778341,7.756128,8.075542
"mdtJ",11.080105,10.68282,11.051971,10.451048,10.178728,10.656707,10.723214,9.927473,9.467374,8.499239,8.727039,8.67023,9.013902,8.996089,8.370957,8.325649,8.380599,8.833033,11.054297,11.206046,11.666071,10.442668,10.658105,10.660567,10.594557,10.228592,10.602637,11.231334,10.59957,10.466517,9.98178,9.787105,9.712047,10.327433,9.797255,9.416646
"higB",9.276363,9.655767,9.695916,8.59915,9.067796,9.048199,8.997604,8.888169,8.946099,9.396465,9.114444,9.258024,8.874398,8.679107,8.684599,8.860606,9.177214,9.000488,9.773654,9.709005,9.628643,9.219653,9.248958,9.309089,9.036836,9.386742,9.700681,9.887006,9.393707,9.51103,9.835029,9.594055,9.799812,9.813021,9.36348,9.059744
"kdgR",10.76371,11.116432,11.350174,11.318236,11.709913,11.669249,11.249422,11.719903,11.945642,11.99876,12.02881,11.964881,11.906722,11.952604,11.972104,11.962297,12.10951,12.177981,11.105134,10.918933,10.779201,11.127737,11.420381,11.421669,11.070226,11.349158,11.324704,10.863615,11.203531,11.449991,11.267007,11.585373,11.564574,11.18342,11.215561,9.977527
"fau",10.749111,10.554591,10.270599,11.201949,10.579717,10.824924,10.858147,10.216645,10.146276,9.575091,9.826016,10.040787,9.782771,9.395129,9.60622,10.080145,10.365574,10.272693,10.560848,10.663022,10.640632,10.913221,10.563721,10.476472,10.444287,10.090548,10.423183,10.282523,10.202484,10.09424,10.128767,9.917606,9.781984,9.994024,9.826087,9.913901
"yqeA",8.860293,9.061779,8.813128,8.745208,8.705481,8.523885,8.67241,8.415272,8.403791,8.715858,8.674078,8.686293,8.723965,8.681984,8.681395,8.948135,8.950853,8.973722,8.87646,8.823842,8.833462,8.700574,8.611827,8.343361,8.413916,8.425275,8.506322,8.540578,8.497465,8.48286,8.395796,8.263256,8.374608,8.53521,8.295695,9.173915
