
tf,tg,kd
mog,pbpC,1.1536662928074244
mog,gltF,2.2383429350461075
mog,rsmG,2.5717483287368017
mog,yjcS,2.3706954022352447
mog,ytjE,1.5326158075701368
araC,murD,1.8468968669715085
araC,sbcC,1.6973983076696526
araC,nmpC,2.5368345064288906
araC,mltG,1.4639764239443114
araC,ymfL,2.300099147113025
araC,ydcA,2.451806862911444
araC,hyfD,2.339099298383708
araC,cmtB,1.8606596192193563
pdhR,pdhR,1.0032072535897263
lacI,lacI,1.3765136488210847
phoB,perR,2.1194972552510545
phoB,kdpA,1.4233269770432768
phoB,csgE,2.567054717000739
phoB,recE,1.8782433447397364
phoB,hxpB,1.8004166344250119
phoB,scpA,1.237207276758319
phoB,fieF,1.4487651450286347
phoB,hupA,2.567354546528166
phoB,yjaH,2.567311704252562
phoB,psiE,1.0038059302032587
phoB,yjhU,1.8782195324138242
cueR,moaA,1.0136256658449945
cueR,ydeN,2.933291093966819
glxR,lpxD,2.228874173366291
glxR,trmO,2.905625290562529
glxR,insE1,1.5398592568639224
glxR,lacI,1.0005683228073545
glxR,yaiY,1.882165167522111
glxR,phoA,1.0907718519778966
glxR,ykiD,2.1621528123121627
glxR,yajO,1.1185519673651279
glxR,insE3,1.5398592568639224
glxR,ybdK,2.6901896852747087
glxR,mngA,1.0088944131462978
glxR,zitB,1.77191863349635
glxR,fiu,2.732628679484517
glxR,potG,2.2325016520512224
glxR,hspQ,2.390834496872788
glxR,yccM,1.5913785475806272
glxR,ymdG,1.6601974306784562
glxR,ycdZ,2.954689831434945
glxR,potA,1.5482105008925433
glxR,tdk,1.773603110190414
glxR,pgpB,3.274233420100519
glxR,ydeI,2.8496685835437336
glxR,ydfB,2.1295897984130296
glxR,ynfL,1.0029114519449964
glxR,ynfM,1.5664135864448834
glxR,fumA,1.6691481335585572
glxR,ydhX,1.101970874909776
glxR,ydiF,2.0875301387163776
glxR,aroH,1.1212849027958118
glxR,btuD,2.7696381190833606
glxR,yniA,3.304692663582287
glxR,yeaQ,1.2173521373660152
glxR,manY,1.0459058538304733
glxR,mntP,1.8387558242590731
glxR,insB5,1.021947341097408
glxR,dacD,2.8019524004326217
glxR,yegH,1.2970774251456618
glxR,insE5,1.5398592568639224
glxR,dusC,1.0549880891844732
glxR,yohJ,1.0549880891844732
glxR,galS,1.0862082817857477
glxR,yeiB,1.1654807899628794
glxR,yeiH,2.35319587531827
glxR,bcr,1.0483883649859254
glxR,glpT,1.5435123859151407
glxR,pyrR,3.0423803583924065
glxR,talA,1.1868745912700627
glxR,xseA,2.032041226052394
glxR,yfgJ,1.6639627272349098
glxR,tapT,2.3201102516391576
glxR,glaR,2.0013048507626974
glxR,queD,1.3152841276772609
glxR,ppdC,2.810567734682406
glxR,ygdT,1.0233811900490506
glxR,aas,1.4123076966532544
glxR,ygeW,1.1670395357983543
glxR,idi,2.5933475448778793
glxR,bglA,1.4068971726994417
glxR,ubiI,2.6743903058700194
glxR,rpiA,1.1002334695422369
glxR,yghU,1.5266662799112092
glxR,ygiS,2.443810682874019
glxR,mqsA,1.012031024823097
glxR,yraK,3.122053561950909
glxR,infB,1.7210578309852367
glxR,yhcE,3.0166094516407336
glxR,nanR,1.440764411966413
glxR,argR,3.265780660382215
glxR,yhcN,1.0375026067252995
glxR,aaeR,1.0000150002250034
glxR,rplR,1.5254529451157286
glxR,yheU,2.512335567637098
glxR,gntR,1.165402011250791
glxR,bcsE,3.0105338579690337
glxR,yiaB,2.1155290409249092
glxR,xylB,1.910011708371772
glxR,lldR,2.196484307217867
glxR,waaU,2.4086054063434656
glxR,trmH,1.2863821017939885
glxR,uhpC,1.4302795910544592
glxR,atpF,3.2739332706920767
glxR,ilvX,3.234560633456354
glxR,rfe,1.796257676756246
glxR,cyaA,1.52904029785705
glxR,yihQ,1.6072932538687548
glxR,pgi,1.0523336023799577
glxR,malK,1.6257624826043415
glxR,aphA,1.9761205591630735
glxR,yjhU,1.086752165082001
glxR,fimH,1.3270343436488137
nagC,folK,2.8673917344565862
nagC,ybbW,2.124861087206424
nagC,recT,2.5471866323645536
nagC,cspF,2.0192882412807136
nagC,kdgR,2.9859748760073934
nagC,yfbM,3.044121496977187
nagC,evgL,2.747343319010517
nagC,galP,1.6394648165517183
fur,ispH,2.0863286943542843
fur,thiB,2.7289650685684093
fur,murE,2.941379994309786
fur,murF,2.924434058025029
fur,yadH,2.9399053938444264
fur,yadI,2.9151187766813287
fur,yadM,2.432219617396049
fur,htrE,1.6650256285690879
fur,yadV,1.955912611433366
fur,pcnB,2.929027866066897
fur,thpR,2.9069152159502503
fur,fhuA,1.7027649995577168
fur,skp,2.6209928855440765
fur,metN,2.080534489165684
fur,yafT,1.968894614948146
fur,dpaA,2.0752474740983278
fur,yafY,1.0663007420150672
fur,yagA,2.9651890533707945
fur,xynR,2.084653041921599
fur,yagP,2.0813963982636774
fur,ecpD,2.771027463020484
fur,ecpC,2.3612733295084105
fur,mhpT,2.0837925603733414
fur,yajD,1.6077155848059168
fur,yajR,2.639951954384201
fur,ybaN,1.3122732362031446
fur,ybbA,3.1027667370994716
fur,fimZ,1.4995750316163923
fur,ybcL,3.2958159616367024
fur,ompT,2.8672671799821012
fur,fes,3.070074449305396
fur,entC,1.7567885870110813
fur,ybdR,2.97744443234187
fur,rna,2.0842152658067197
fur,citG,2.940787142609734
fur,cspE,1.3987154023665436
fur,crcB,1.3406417658149752
fur,dacA,1.9966749614960484
fur,leuS,2.9164858525445343
fur,ubiF,1.1992013727247497
fur,ybfB,1.2346441138341875
fur,phr,1.9177055817420865
fur,ybgD,3.075427945798658
fur,rhtA,2.998257080388598
fur,iaaA,1.365202623373361
fur,potG,2.9279364753354784
fur,potH,1.2255622023198403
fur,aat,2.701363719264124
fur,ftsK,2.0864436186496462
fur,ycaC,2.861297773625091
fur,cmk,1.9900781785232573
fur,mukB,1.60266279033881
fur,mepK,2.9397297103342908
fur,ssuE,1.9754481344076353
fur,rlmL,2.086764169997151
fur,torR,1.2192312182382277
fur,ymdF,2.0820003389588098
fur,rutF,2.008757549165475
fur,rutB,2.879948465398408
fur,putP,1.4967250200264004
fur,phoH,2.9056297126286625
fur,csgB,2.798549232078091
fur,lpxL,3.1399836092855593
fur,flgD,2.632218995093451
fur,fabG,2.9178289976775753
fur,ycfT,1.5962744641620783
fur,lolC,2.6382416995460494
fur,lolE,2.9263919581850217
fur,purB,2.637701063153452
fur,pinE,2.4857211481373853
fur,dadA,1.4439552942061558
fur,emtA,2.064893540575307
fur,ychO,2.9198632992443523
fur,galU,2.6356834167037864
fur,oppA,2.987076737120402
fur,oppD,2.8994095322175633
fur,pspE,2.872899950483217
fur,abgA,2.8515378311724504
fur,feaR,1.6872695695588242
fur,paaG,1.4032670676619978
fur,ydcJ,2.9051178894878738
fur,tehB,3.0373398322165333
fur,sutR,2.7189354823799388
fur,mnaT,1.223310346187441
fur,mcbR,1.9081398242332783
fur,ansP,2.070112017808139
fur,adhP,1.3899581473248874
fur,yddB,2.7423324352083247
fur,ydeQ,1.1623781430608864
fur,lsrK,2.934661280395388
fur,ydfK,1.4371215291874329
fur,pinQ,2.954804401709785
fur,ynfU,1.593145650154774
fur,flxA,3.1471331231525337
fur,ynfB,3.191421459117891
fur,ydgD,2.9362983708298636
fur,mdtJ,1.2251130477060368
fur,ydgI,2.1212426791300913
fur,folM,1.8870806991510667
fur,ydgA,2.249496112870717
fur,rsxC,1.4035422599556762
fur,rsxD,1.2187905256495846
fur,anmK,1.6924843837721606
fur,punC,2.6264265679348946
fur,cfa,2.0741106922004358
fur,ydhU,1.5928286814446122
fur,ydiH,2.6370724524079594
fur,ydiE,2.439380185567059
fur,chbA,2.4540611482258887
fur,osmE,2.938084210426842
fur,yeaC,2.3715100433740504
fur,yeaD,2.893304974061487
fur,yoaI,2.9191827089660354
fur,yeaV,2.086309576790429
fur,yeaX,1.7070714473774529
fur,yoaL,1.6079636033306564
fur,letA,2.3702576466258787
fur,ruvA,2.9163585428044927
fur,yebC,2.9009723985446048
fur,yecJ,2.9341898065813377
fur,yecU,1.66877210080051
fur,dsrB,2.9338882675888702
fur,yoeA,1.156129448749834
fur,yeeY,2.3067699161117794
fur,wzxC,2.8458246061378745
fur,dcd,2.0871180433340353
fur,yegI,2.082022875230713
fur,ibsA,1.5331472586745107
fur,yegV,1.2254901926598065
fur,rcnA,2.219213703723294
fur,btsR,2.0866789630815026
fur,yehY,2.0861769025679826
fur,yeiE,1.61574942908523
fur,yeiH,2.2451453898306526
fur,yejF,2.0788336246136603
fur,ccmE,2.0776266949077864
fur,alkB,2.1227811773087573
fur,yfaA,2.9399925710225174
fur,elaD,2.982968977248139
fur,yfbL,3.223310985043837
fur,nuoM,2.929805171152367
fur,nuoE,3.279688560774269
fur,yfbS,2.0853536200698075
fur,hisJ,2.970717636259391
fur,folC,2.086007073091862
fur,yfcJ,2.917905641018927
fur,yfcO,3.0924136907338915
fur,yodE,2.408289331883824
fur,yfdM,2.2739695642445446
fur,yfdQ,2.9042687794423987
fur,cysU,2.937613798627651
fur,eutL,1.4037028552999125
fur,eutC,1.3969446027648327
fur,yffM,2.0375443936125106
fur,yffQ,1.4021909645386539
fur,yffB,2.2514080000273915
fur,hyfC,2.8368337635298286
fur,hyfE,2.9222239911501515
fur,upp,2.0745801473871874
fur,der,1.7058549934571112
fur,yfhR,3.1125207371694117
fur,hcaC,2.617397478356773
fur,yphE,2.924969336946141
fur,mltF,1.6076116717559668
fur,acpS,2.439571806356548
fur,rseC,2.64005725026871
fur,yfiE,2.9625679539024428
fur,eamB,2.6715647211604816
fur,yfjM,1.524318177713372
fur,stpA,1.7184010236683345
fur,proV,1.2019057417441095
fur,hycB,2.0200627569382066
fur,hypC,2.938211840671514
fur,ygcN,1.9260136342902054
fur,yqcG,1.2863324603423703
fur,sdaC,2.0862650536770904
fur,fucR,3.1170709507689813
fur,gcvA,2.919829817935435
fur,rppH,3.113964886931935
fur,yqeJ,3.2513401867845895
fur,ygeH,1.8013117151910023
fur,ygeI,2.931276975778174
fur,sdhE,2.9359596746407934
fur,rpiA,2.801128294477015
fur,scpA,2.9207722513488856
fur,cmtB,2.024977083495185
fur,speA,2.0630296180427923
fur,rdgB,2.928385976605173
fur,yghD,3.2852374569633893
fur,glcF,2.167011628738793
fur,yghT,3.0803636061200663
fur,yqhG,1.6703442078309079
fur,yqiB,2.0083417359643425
fur,yqiG,1.1494199040656672
fur,hldE,2.8493941833192746
fur,folB,1.0759319883182887
fur,tsaD,2.9288497534554816
fur,ygjK,2.2683008532511
fur,ygjQ,1.5988059293285901
fur,yhaJ,1.5667515923865578
fur,yhaC,1.273951430542458
fur,dolP,2.638941109387984
fur,pnp,2.934560176140063
fur,mlaC,2.0838021271563596
fur,arcB,2.9278834479119427
fur,tldD,2.836074291581797
fur,aroE,2.630445367764847
fur,arfA,1.4032467371959105
fur,rpsJ,1.2263372680275715
fur,gspB,2.085595310811176
fur,slyD,1.3809944467853614
fur,feoC,2.918886737712497
fur,malP,2.1333101132368766
fur,yrhB,3.1593966145076924
fur,ugpQ,1.2252696499099462
fur,ugpC,1.2257072486066893
fur,rpoH,1.3819979873371053
fur,nikB,2.049186403842868
fur,yhiN,1.506232480653124
fur,ysaE,1.9759278909676725
fur,glyQ,2.9296615661113545
fur,envC,2.9371502268212115
fur,waaL,1.7711537414727618
fur,waaO,1.5133813176103104
fur,waaP,1.6993214575027187
fur,recG,2.9369502571407606
fur,adeD,2.6150970216661635
fur,emrD,3.0088490249824735
fur,yieL,2.791956750373027
fur,bglH,2.136828678101515
fur,glmU,2.9328699992879637
fur,rsmG,2.136505616873267
fur,rarD,1.658887346067931
fur,ubiB,1.9154547683732992
fur,alr,1.1474792969903054
fur,soxS,2.6182211214292614
fur,nrfB,2.9397914005614627
fur,mdtP,2.0847301270884016
fur,mdtO,2.08174173353001
fur,yjcS,3.1637226775110063
fur,dcuR,3.120270839508869
fur,frdD,2.898639263925863
fur,aidB,2.601030528295311
fur,tamB,1.6088668190483657
fur,yjgA,2.858545246212488
fur,ahr,1.3707793703187883
fur,fecR,2.9307067958981743
fur,fimB,2.2649762049229505
fur,yjiH,3.118052589074967
fur,yjiJ,1.9596536935614122
fur,yjiL,1.5775720068697874
fur,yjjP,2.6385165029181405
fur,yjjZ,2.780298680229529
fur,creB,2.929375410989449
modE,modA,1.6706617777006818
modE,narK,1.0913349099485
modE,ynfE,1.140698289865124
modE,hypA,1.0084935325309758
modE,ygfT,1.6602966618075317
modE,rbsC,1.6035123334151122
modE,yjgN,2.532479043735913
deoR,tomB,3.148981461946134
deoR,nupG,2.4989941548526717
deoR,deoC,1.0151624666011547
lrp,ykgR,1.49656015648033
lrp,lacZ,2.5365838810240695
lrp,yaiS,1.2022192968219334
lrp,yaiZ,2.433137384669288
lrp,phoA,2.82620000452192
lrp,dgcC,1.9829112706693712
lrp,thiL,3.122833534235624
lrp,ybaQ,2.3519395269308836
lrp,ybbJ,1.5542672407093676
lrp,sfmC,3.028898722713409
lrp,appY,1.9331478800133777
lrp,ybdO,2.2111810581385836
lrp,ybeL,2.8055370078386708
lrp,ybeQ,2.4074573398559376
lrp,gpmA,3.3028807726098703
lrp,clpA,1.3444600849967665
lrp,elfD,1.6864259574683373
lrp,hspQ,1.8122114053337006
lrp,tusE,2.509051402936092
lrp,grxB,1.3558935948942472
lrp,dadA,1.651674963580567
lrp,ymgM,3.1238285642883916
lrp,yciN,1.3801460470546993
lrp,sapB,3.2360469744578815
