geneid	start	end	synonyms
thrL	190	255	['ECK0001']
thrA	337	2799	['ECK0002', 'Hs', 'thrA1', 'thrA2', 'thrD']
thrB	2801	3733	['ECK0003']
thrC	3734	5020	['ECK0004']
yaaX	5234	5530	['ECK0005']
yaaA	5683	6459	['ECK0006']
yaaJ	6529	7959	['ECK0007']
talB	8238	9191	['ECK0008', 'yaaK']
mog	9306	9893	['bisD', 'chlG', 'ECK0009', 'mogA', 'yaaG']
satP	9928	10494	['ECK0010', 'yaaH']
yaaW	10643	11356	['ECK0011']
mbiA	10830	11315	['ECK0012', 'htgA', 'htpY']
yaaI	11382	11786	['ECK0013']
dnaK	12163	14079	['ECK0014', 'groPAB', 'groPC', 'groPF', 'grpC', 'grpF', 'seg']
dnaJ	14168	15298	['ECK0015', 'groP', 'grpC']
insL1	15445	16557	['ECK0016', 'yi81-1']
mokC	16751	16960	['ECK0018', 'gefL']
hokC	16751	16903	['ECK0017', 'gef']
sokC	16952	17010	['ECK0019', 'sof']
nhaA	17489	18655	['ant', 'antA', 'ECK0020']
nhaR	18715	19620	['antO', 'ECK0021', 'yaaB']
insB1	19811	20314	['ECK0022']
insA1	20233	20508	['ECK0023']
rpsT	20815	21078	['ECK0024', 'sup(s20)', 'supS', 'supS20']
yaaY	21181	21399	['ECK0025']
ribF	21407	22348	['ECK0026', 'yaaC']
ileS	22391	25207	['ECK0027', 'ilvS']
lspA	25207	25701	['ECK0028', 'lsp']
fkpB	25826	26275	['ECK0029', 'slpA', 'yaaD']
ispH	26277	27227	['ECK0030', 'lytB', 'yaaE']
rihC	27293	28207	['ECK0031', 'yaaF']
dapB	28374	29195	['ECK0032']
carA	29651	30799	['arg', 'ECK0033', 'pyrA']
carB	30817	34038	['ECK0034', 'pyrA']
caiF	34300	34695	['ECK0035']
caiE	34781	35371	['ECK0036']
caiD	35377	36162	['ECK0037', 'yaaL']
caiC	36271	37824	['ECK0038', 'yaaM']
caiB	37898	39115	['ECK0039', 'yaaN']
caiA	39244	40386	['ECK0040', 'yaaO']
caiT	40417	41931	['ECK0041', 'yaaP']
fixA	42403	43173	['ECK0042', 'yaaQ']
fixB	43188	44129	['ECK0043', 'yaaR']
fixC	44180	45466	['ECK0044', 'yaaS']
fixX	45463	45750	['ECK0045', 'yaaT']
yaaU	45807	47138	['ECK0046', 'yabE']
kefF	47246	47776	['ECK0047', 'yabF']
kefC	47769	49631	['ECK0048', 'trkC']
folA	49823	50302	['ECK0049', 'tmr', 'tmrA']
apaH	50380	51222	['cfcB', 'ECK0050']
apaG	51229	51606	['ECK0051']
rsmA	51609	52430	['ECK0052', 'ksgA']
pdxA	52427	53416	['ECK0053']
surA	53416	54702	['ECK0054']
lptD	54755	57109	['ECK0055', 'imp', 'ostA', 'yabG']
djlA	57364	58179	['ECK0056', 'yabH']
yabP	58474	59124	['b4659', 'ECK0057']
yabQ	59121	59279	['b4659', 'ECK0058']
rluA	59687	60346	['ECK0059', 'yabO']
rapA	60358	63264	['ECK0060', 'hepA', 'yabA']
polB	63429	65780	['dinA', 'ECK0061']
araD	65855	66550	['ECK0062']
araA	66835	68337	['ECK0063']
araB	68348	70048	['ECK0064']
araC	70387	71265	['ECK0065']
yabI	71351	72115	['ECK0066']
thiQ	72229	72927	['ECK0067', 'sfuC', 'yabJ']
thiP	72911	74521	['ECK0068', 'sfuB', 'yabK']
thiB	74497	75480	['ECK0069', 'sfuA', 'tbpA', 'yabL']
sroA	75516	75608	['ECK4619', 'tpe79']
sgrR	75644	77299	['ECK0070', 'yabN']
sgrS	77367	77593	['ECK0071', 'ryaA']
sgrT	77388	77519	['ECK4477']
setA	77621	78799	['ECK0072', 'yabM']
leuD	78848	79453	['ECK0073']
leuC	79464	80864	['ECK0074']
leuB	80867	81958	['ECK0075']
leuA	81958	83529	['ECK0076']
leuL	83622	83708	['ECK0077', 'leuIP', 'leulL', 'leulLP', 'leuLP']
leuO	84368	85312	['ECK0078']
yabR	85467	85511	['ECK4583']
ilvI	85630	87354	['ECK0079']
ilvH	87357	87848	['brnP', 'ECK0080']
cra	88028	89032	['ECK0081', 'fruC', 'fruR', 'shl']
mraZ	89634	90092	['ECK0082', 'yabB']
rsmH	90094	91035	['ECK0083', 'mraW', 'yabC']
ftsL	91032	91397	['ECK0084', 'mraR', 'yabD']
ftsI	91413	93179	['ECK0085', 'pbpB', 'sep']
ftsO	92485	92658	['ECK4667']
murE	93166	94653	['ECK0086']
murF	94650	96008	['ECK0087', 'mra']
mraY	96002	97084	['ECK0088', 'murX']
murD	97087	98403	['ECK0089']
ftsW	98403	99647	['ECK0090']
murG	99644	100711	['ECK0091']
murC	100765	102240	['ECK0092']
ddlB	102233	103153	['ddl', 'ECK0093']
ftsQ	103155	103985	['ECK0094']
ftsA	103982	105244	['divA', 'ECK0095']
ftsZ	105305	106456	['ECK0096', 'sfiB', 'sulB']
lpxC	106557	107474	['asmB', 'ECK0097', 'envA']
secM	107705	108217	['ECK0098', 'srrA', 'yacA']
secA	108279	110984	['azi', 'ECK0099', 'pea', 'prlD']
mutT	111044	111433	['ECK0100', 'nudA']
yacG	111649	111846	['ECK0101']
zapD	111856	112599	['ECK0102', 'yacF']
coaE	112599	113219	['ECK0103', 'yacE']
yacM	113244	113288	['ECK4584']
guaC	113444	114487	['ECK0104']
hofC	114522	115724	['ECK0105', 'hopC', 'yacD']
hofB	115714	117099	['ECK0106', 'hopB']
ppdD	117109	117549	['ECK0107']
nadC	117752	118645	['ECK0108']
ampD	118733	119284	['ECK0109']
ampE	119281	120135	['ECK0110']
aroP	120178	121551	['aroR', 'ECK0111']
pdhR	122092	122856	['aceC', 'ECK0112', 'genA', 'yacB']
aceE	123017	125680	['ECK0113']
aceF	125695	127587	['ECK0114']
lpd	127912	129336	['dhl', 'ECK0115', 'lpdA']
yacH	129407	131260	['ECK0116']
acnB	131615	134212	['ECK0117', 'yacI', 'yacJ']
yacL	134388	134750	['ECK0118']
speD	134788	135582	['ECK0119']
speE	135598	136464	['ECK0120']
yacC	136570	136917	['ECK0121']
cueO	137083	138633	['ECK0122', 'yacK']
gcd	138835	141225	['ECK0123']
hpt	141431	141967	['ECK0124']
can	142008	142670	['ECK0125', 'yadF']
yadG	142779	143705	['ECK0126']
yadH	143702	144472	['ECK0127']
yadI	144577	145017	['agaX', 'ECK0128']
yadE	145081	146310	['ECK0129']
panD	146314	146694	['ECK0130']
rpnC	146968	147870	['ECK0131', 'yadD']
panC	147944	148795	['ECK0132']
panB	148807	149601	['ECK0133']
yadC	149715	150953	['ECK0134']
yadK	151003	151599	['ECK0135']
yadL	151626	152231	['ECK0136']
yadM	152243	152812	['ECK0137']
htrE	152829	155426	['ECK0138']
yadV	155461	156201	['ECK0139', 'ecpD']
yadN	156299	156883	['ECK0140']
folK	157253	157732	['ECK0141']
pcnB	157729	159126	['ECK0142']
gluQ	159186	160112	['ECK0143', 'yadB']
dksA	160149	160604	['ECK0144', 'msmA']
sfsA	160782	161486	['ECK0145', 'sfs', 'sfs1']
thpR	161501	162031	['ECK0146', 'ligT', 'yadP']
hrpB	162105	164534	['ECK0147', 'yadO']
mrcB	164730	167264	['ECK0148', 'pbpF', 'ponB']
fhuA	167484	169727	['ECK0149', 'T1', 'T5rec', 'tonA']
fhuC	169778	170575	['ECK0150']
fhuD	170575	171465	['ECK0151']
fhuB	171462	173444	['ECK0152']
hemL	173602	174882	['ECK0153', 'gsa', 'popC']
yadX	175048	175095	['ECK4622']
clcA	175107	176528	['ECK0154', 'eriC', 'yadQ']
yadW	176552	176617	['ECK4585']
erpA	176610	176954	['ECK0155', 'yadR']
yadS	177001	177624	['ECK0156']
btuF	177662	178462	['ECK0157', 'yadT']
mtn	178455	179153	['ECK0158', 'mtnN', 'pfs', 'yadA']
dgt	179237	180754	['ECK0159', 'optA']
degP	180884	182308	['ECK0160', 'htrA', 'ptd']
cdaR	182463	183620	['ECK0161', 'sdaR', 'yaeG']
yaeH	183709	184095	['ECK0162']
yaeI	184257	185069	['ECK0163']
dapD	185123	185947	['ECK0164', 'ssa']
glnD	185978	188650	['ECK0165', 'glnD5']
map	188712	189506	['ECK0166']
tff	189712	189847	['ECK0167', 't44']
rpsB	189874	190599	['ECK0168']
tsf	190857	191708	['ECK0169']
pyrH	191855	192580	['ECK0170', 'smbA', 'umk']
frr	192872	193429	['ECK0171', 'rrf']
dxr	193521	194717	['ECK0172', 'ispC', 'yaeM']
ispZ	194784	194844	['ECK4666']
ispU	194903	195664	['ECK0173', 'rth', 'uppS', 'yaeS']
cdsA	195677	196534	['cds', 'ECK0174']
rseP	196546	197898	['ecfE', 'ECK0175', 'yaeL']
bamA	197928	200360	['ecfK', 'ECK0176', 'yaeT', 'yzzN', 'yzzY']
skp	200482	200967	['ECK0177', 'firA', 'hlpA', 'ompH']
