geneid	start	synonyms
thrL	190	['ECK0001']
thrA	337	['ECK0002', 'Hs', 'thrA1', 'thrA2', 'thrD']
thrB	2801	['ECK0003']
thrC	3734	['ECK0004']
yaaX	5234	['ECK0005']
yaaA	5683	['ECK0006']
yaaJ	6529	['ECK0007']
talB	8238	['ECK0008', 'yaaK']
mog	9306	['bisD', 'chlG', 'ECK0009', 'mogA', 'yaaG']
satP	9928	['ECK0010', 'yaaH']
yaaW	10643	['ECK0011']
mbiA	10830	['ECK0012', 'htgA', 'htpY']
yaaI	11382	['ECK0013']
dnaK	12163	['ECK0014', 'groPAB', 'groPC', 'groPF', 'grpC', 'grpF', 'seg']
dnaJ	14168	['ECK0015', 'groP', 'grpC']
insL	15445	['ECK0016', 'yi81-1']
mokC	16751	['ECK0018', 'gefL']
hokC	16751	['ECK0017', 'gef']
sokC	16952	['ECK0019', 'sof']
nhaA	17489	['ant', 'antA', 'ECK0020']
nhaR	18715	['antO', 'ECK0021', 'yaaB']
insB	19811	['ECK0022']
insA	20233	['ECK0023']
rpsT	20815	['ECK0024', 'sup(s20)', 'supS', 'supS20']
yaaY	21181	['ECK0025']
ribF	21407	['ECK0026', 'yaaC']
ileS	22391	['ECK0027', 'ilvS']
lspA	25207	['ECK0028', 'lsp']
fkpB	25826	['ECK0029', 'slpA', 'yaaD']
ispH	26277	['ECK0030', 'lytB', 'yaaE']
rihC	27293	['ECK0031', 'yaaF']
dapB	28374	['ECK0032']
carA	29651	['arg', 'ECK0033', 'pyrA']
carB	30817	['ECK0034', 'pyrA']
caiF	34300	['ECK0035']
caiE	34781	['ECK0036']
caiD	35377	['ECK0037', 'yaaL']
caiC	36271	['ECK0038', 'yaaM']
caiB	37898	['ECK0039', 'yaaN']
caiA	39244	['ECK0040', 'yaaO']
caiT	40417	['ECK0041', 'yaaP']
fixA	42403	['ECK0042', 'yaaQ']
fixB	43188	['ECK0043', 'yaaR']
fixC	44180	['ECK0044', 'yaaS']
fixX	45463	['ECK0045', 'yaaT']
yaaU	45807	['ECK0046', 'yabE']
kefF	47246	['ECK0047', 'yabF']
kefC	47769	['ECK0048', 'trkC']
folA	49823	['ECK0049', 'tmr', 'tmrA']
apaH	50380	['cfcB', 'ECK0050']
apaG	51229	['ECK0051']
rsmA	51609	['ECK0052', 'ksgA']
pdxA	52427	['ECK0053']
surA	53416	['ECK0054']
lptD	54755	['ECK0055', 'imp', 'ostA', 'yabG']
djlA	57364	['ECK0056', 'yabH']
yabP	58474	['b4659', 'ECK0057']
yabQ	59121	['b4659', 'ECK0058']
rluA	59687	['ECK0059', 'yabO']
rapA	60358	['ECK0060', 'hepA', 'yabA']
polB	63429	['dinA', 'ECK0061']
araD	65855	['ECK0062']
araA	66835	['ECK0063']
araB	68348	['ECK0064']
araC	70387	['ECK0065']
yabI	71351	['ECK0066']
thiQ	72229	['ECK0067', 'sfuC', 'yabJ']
thiP	72911	['ECK0068', 'sfuB', 'yabK']
thiB	74497	['ECK0069', 'sfuA', 'tbpA', 'yabL']
sroA	75516	['ECK4619', 'tpe79']
sgrR	75644	['ECK0070', 'yabN']
sgrS	77367	['ECK0071', 'ryaA']
sgrT	77388	['ECK4477']
setA	77621	['ECK0072', 'yabM']
leuD	78848	['ECK0073']
leuC	79464	['ECK0074']
leuB	80867	['ECK0075']
leuA	81958	['ECK0076']
leuL	83622	['ECK0077', 'leuIP', 'leulL', 'leulLP', 'leuLP']
leuO	84368	['ECK0078']
yabR	85467	['ECK4583']
ilvI	85630	['ECK0079']
ilvH	87357	['brnP', 'ECK0080']
cra	88028	['ECK0081', 'fruC', 'fruR', 'shl']
mraZ	89634	['ECK0082', 'yabB']
rsmH	90094	['ECK0083', 'mraW', 'yabC']
ftsL	91032	['ECK0084', 'mraR', 'yabD']
ftsI	91413	['ECK0085', 'pbpB', 'sep']
ftsO	92485	['ECK4667']
murE	93166	['ECK0086']
murF	94650	['ECK0087', 'mra']
mraY	96002	['ECK0088', 'murX']
murD	97087	['ECK0089']
ftsW	98403	['ECK0090']
murG	99644	['ECK0091']
murC	100765	['ECK0092']
ddlB	102233	['ddl', 'ECK0093']
ftsQ	103155	['ECK0094']
ftsA	103982	['divA', 'ECK0095']
ftsZ	105305	['ECK0096', 'sfiB', 'sulB']
lpxC	106557	['asmB', 'ECK0097', 'envA']
secM	107705	['ECK0098', 'srrA', 'yacA']
secA	108279	['azi', 'ECK0099', 'pea', 'prlD']
mutT	111044	['ECK0100', 'nudA']
yacG	111649	['ECK0101']
zapD	111856	['ECK0102', 'yacF']
coaE	112599	['ECK0103', 'yacE']
yacM	113244	['ECK4584']
guaC	113444	['ECK0104']
hofC	114522	['ECK0105', 'hopC', 'yacD']
hofB	115714	['ECK0106', 'hopB']
ppdD	117109	['ECK0107']
nadC	117752	['ECK0108']
ampD	118733	['ECK0109']
ampE	119281	['ECK0110']
aroP	120178	['aroR', 'ECK0111']
pdhR	122092	['aceC', 'ECK0112', 'genA', 'yacB']
aceE	123017	['ECK0113']
aceF	125695	['ECK0114']
lpd	127912	['dhl', 'ECK0115', 'lpdA']
yacH	129407	['ECK0116']
acnB	131615	['ECK0117', 'yacI', 'yacJ']
yacL	134388	['ECK0118']
speD	134788	['ECK0119']
speE	135598	['ECK0120']
yacC	136570	['ECK0121']
cueO	137083	['ECK0122', 'yacK']
gcd	138835	['ECK0123']
hpt	141431	['ECK0124']
can	142008	['ECK0125', 'yadF']
yadG	142779	['ECK0126']
yadH	143702	['ECK0127']
yadI	144577	['agaX', 'ECK0128']
yadE	145081	['ECK0129']
panD	146314	['ECK0130']
rpnC	146968	['ECK0131', 'yadD']
panC	147944	['ECK0132']
panB	148807	['ECK0133']
yadC	149715	['ECK0134']
yadK	151003	['ECK0135']
yadL	151626	['ECK0136']
yadM	152243	['ECK0137']
htrE	152829	['ECK0138']
yadV	155461	['ECK0139', 'ecpD']
yadN	156299	['ECK0140']
folK	157253	['ECK0141']
pcnB	157729	['ECK0142']
gluQ	159186	['ECK0143', 'yadB']
dksA	160149	['ECK0144', 'msmA']
sfsA	160782	['ECK0145', 'sfs', 'sfs1']
thpR	161501	['ECK0146', 'ligT', 'yadP']
hrpB	162105	['ECK0147', 'yadO']
mrcB	164730	['ECK0148', 'pbpF', 'ponB']
fhuA	167484	['ECK0149', 'T1', 'T5rec', 'tonA']
fhuC	169778	['ECK0150']
fhuD	170575	['ECK0151']
fhuB	171462	['ECK0152']
hemL	173602	['ECK0153', 'gsa', 'popC']
yadX	175048	['ECK4622']
clcA	175107	['ECK0154', 'eriC', 'yadQ']
yadW	176552	['ECK4585']
erpA	176610	['ECK0155', 'yadR']
yadS	177001	['ECK0156']
btuF	177662	['ECK0157', 'yadT']
mtn	178455	['ECK0158', 'mtnN', 'pfs', 'yadA']
dgt	179237	['ECK0159', 'optA']
degP	180884	['ECK0160', 'htrA', 'ptd']
cdaR	182463	['ECK0161', 'sdaR', 'yaeG']
yaeH	183709	['ECK0162']
yaeI	184257	['ECK0163']
dapD	185123	['ECK0164', 'ssa']
glnD	185978	['ECK0165', 'glnD5']
map	188712	['ECK0166']
tff	189712	['ECK0167', 't44']
rpsB	189874	['ECK0168']
tsf	190857	['ECK0169']
pyrH	191855	['ECK0170', 'smbA', 'umk']
frr	192872	['ECK0171', 'rrf']
dxr	193521	['ECK0172', 'ispC', 'yaeM']
ispZ	194784	['ECK4666']
ispU	194903	['ECK0173', 'rth', 'uppS', 'yaeS']
cdsA	195677	['cds', 'ECK0174']
rseP	196546	['ecfE', 'ECK0175', 'yaeL']
bamA	197928	['ecfK', 'ECK0176', 'yaeT', 'yzzN', 'yzzY']
skp	200482	['ECK0177', 'firA', 'hlpA', 'ompH']
lpxD	200971	['ECK0178', 'firA', 'omsA']
fabZ	202101	['ECK0179', 'sabA1', 'sefA', 'sfhC21', 'yaeA']
lpxA	202560	['ECK0180']
lpxB	203348	['ECK0181', 'pgsB']
rnhB	204493	['ECK0182']
dnaE	205126	['ECK0183', 'polC', 'sdgC']
accA	208621	['ECK0184']
ldcC	209679	['ECK0185', 'ldc', 'ldcH']
yaeR	211877	['ECK0186']
tilS	212331	['ECK0187', 'mesJ', 'yaeN']
rof	213678	['ECK0188', 'yaeO']
yaeP	213925	['ECK0189']
yaeQ	214291	['ECK0190']
arfB	214833	['ECK0191', 'yaeJ']
nlpE	215269	['cutF', 'ECK0192']
yaeF	216179	['ECK0193', 'yaeK']
proS	217057	['drp', 'drpA', 'ECK0194']
trmO	218887	['ECK0195', 'tsaA', 'yaeB']
rcsF	219591	['ECK0196']
metQ	220113	['ECK0197', 'metD', 'yaeC']
metI	220968	['ECK0198', 'metD', 'yaeE']
metN	221614	['abc', 'ECK0199', 'metD']
gmhB	222833	['ECK0200', 'yaeD']
rrsH	223771	['ECK0201']
ileV	225381	['ECK0202']
alaV	225500	['ECK0203']
rrlH	225759	['ECK0204']
rrfH	228756	['ECK0205']
aspU	228928	['ECK0206']
dkgB	229167	['ECK0207', 'yafB']
yafC	229967	['ECK0208']
yafD	231122	['ECK0209']
yafE	231926	['ECK0210']
mltD	232597	['dniR', 'ECK0211', 'yafG']
gloB	234027	['ECK0212', 'yafR']
ykfO	234288	['ECK4672']
yafS	234816	['ECK0213']
rnhA	235535	['cer', 'dasF', 'ECK0214', 'herA', 'rnh', 'sdrA', 'sin']
dnaQ	236067	['ECK0215', 'mutD']
aspV	236931	['ECK0216']
yafT	237335	['ECK0217']
ykfM	238257	['ECK4397']
yafU	238746	['ECK0218']
yafF	239190	['ECK0219']
yafV	239419	['ECK0220']
ivy	240343	['ECK0221', 'ykfE']
fadE	240859	['ECK0222', 'yafH']
gmhA	243543	['ECK0223', 'lpcA', 'tfrA', 'yafI']
yafJ	244327	['ECK0224']
dpaA	245065	['ECK0225', 'ldtF', 'yafK']
yafQ	245961	['ECK0226']
dinJ	246242	['ECK0227', 'sosA']
yafL	246712	['ECK0228']
rayT	247637	['ECK0229', 'yafM']
lfhA	248358	['ECK0230', 'fhiA']
lafU	250072	['ECK0231', 'mbhA']
dinB	250898	['dinP', 'ECK0232']
yafN	252005	['ECK0233']
yafO	252301	['ECK0234']
yafP	252709	['ECK0235']
ykfJ	253467	['ECK0236']
prfH	253702	['ECK0237']
pepD	254259	['ECK0238', 'pepH']
gpt	255977	['ECK0239', 'glyD', 'gpp', 'gxu']
frsA	256527	['ECK0240', 'yafA']
crl	257829	['ECK0241']
insB	257923	['ECK4567']
insA	258345	['ECK4566']
crl	258676	['ECK0241']
phoE	259045	['ECK0242', 'ompE']
proB	260388	['ECK0243', 'pro(2)', 'pro2']
proA	261503	['ECK0244', 'pro(1)', 'pro1']
thrW	262871	['ECK0245']
ykfN	263150	['ECK4458']
ykfI	263328	['ECK0246']
yafW	263690	['ECK0247']
ykfH	264026	['ECK0248']
ykfG	264256	['ECK0249']
yafX	264748	['ECK0250']
ykfF	265304	['ECK0251']
ykfB	265620	['ECK0252']
yafY	266110	['ECK0253']
ykfL	266553	['ECK4445']
ykfK	266776	['ECK4444']
yafZ	267184	['ECK0254']
ykfA	268097	['ECK0255']
perR	269289	['ECK0256']
insN	270278	['b0255', 'b0257', 'ECK0257', 'yi91a']
insI	270603	['ECK0258', 'tra8-1']
insN	271764	['b0255', 'b0257', 'ECK0257', 'yi91a']
eyeA	272580	['ECK4506']
ykfC	272847	['ECK0260']
insH	274101	['ECK0261', 'trs5', 'trs5-1', 'yi52_1']
mmuP	275325	['ECK0262', 'ykfD']
mmuM	276715	['ECK0263', 'yagD']
afuC	277756	['ECK0264', 'fbpC', 'yagC']
afuB	278814	['ECK0265', 'fbpB']
insB	279178	['ECK0022']
insA	279600	['ECK0023']
insI	279931	['ECK4564']
insX	280114	['ECK0266', 'ECK4473', 'ykgN']
yagB	280385	['ECK0267']
yagA	280829	['ECK0268']
yagE	282278	['ECK0269']
yagF	283201	['ECK0270']
yagG	285395	['ECK0271']
yagH	286789	['ECK0272']
xynR	288404	['ECK0273', 'yagI']
argF	289301	['ECK0274']
argL	290275	['ECK4623']
ykgS	290510	['ECK4504']
insB	290649	['ECK0022']
insA	291071	['ECK0023']
yagJ	291500	['ECK0275']
yagK	292322	['ECK0276']
yagL	293220	['ECK0277']
yagM	293945	['ECK0278']
ykgV	294918	['ECK4586']
yagN	295139	['ECK0279']
intF	295696	['ECK0280', 'yagO']
yagP	297381	['b4695', 'ECK0281', 'ykgT']
paoD	297770	['ECK0282', 'yagQ']
paoC	298736	['ECK0283', 'yagR']
paoB	300931	['ECK0284', 'yagS']
paoA	301884	['ECK0285', 'yagT']
yagU	302991	['ECK0286']
ykgJ	303853	['ECK0287']
ecpE	304495	['ECK0288', 'matF', 'yagV']
ecpD	305174	['ECK0289', 'matE', 'yagW']
ecpC	306807	['ECK0290', 'matD', 'yagX']
ecpB	309358	['ECK0291', 'matC', 'yagY']
ecpA	310084	['ECK0292', 'matB', 'yagZ']
matA	310746	['ECK0293', 'ecpR', 'ykgK']
ykgL	312112	['ECK0294']
ykgO	312374	['ECK0295']
ykgM	312514	['ECK0296']
ykgR	313141	['ECK4486']
ykgP	313716	['ECK4446']
eaeH	314357	['ECK0297']
insE	315291	['ECK0298']
insF	315587	['ECK0299', 'tra5-5']
ykgA	316450	['ECK0300']
ykgQ	317439	['ECK4454']
rclC	317726	['ECK0301', 'ykgB']
rclB	318331	['ECK0302', 'ykgI']
rclA	318676	['ECK0303', 'ykgC']
rclR	320227	['ECK0304', 'ykgD']
ykgE	321608	['ECK0305']
ykgF	322338	['ECK0306']
ykgG	323758	['ECK0307']
ykgH	324696	['ECK0308']
betA	325577	['ECK0309']
betB	327261	['ECK0310']
betI	328747	['ECK0311']
betT	329463	['ECK0312']
yahV	331802	['ECK4587']
pdeL	332371	['ECK0313', 'yahA']
yahB	333501	['ECK0314']
yahC	334525	['ECK0315']
yahD	335280	['ECK0316']
yahE	335925	['ECK0317']
yahF	336778	['ECK0318']
yahG	338325	['ECK0319']
yahH	339769	['ECK0320']
yahI	340165	['ECK0321']
yahJ	341125	['ECK0322']
yahK	342884	['ECK0323']
yahL	344176	['ECK0324']
yahM	345404	['ECK0325']
yahN	345666	['ECK0326']
yahO	346484	['ECK0327']
prpR	346857	['ECK0328', 'yahP']
prpB	348682	['ECK0329', 'yahQ']
prpC	350012	['ECK0330', 'yahS', 'yzzD']
prpD	351215	['acnC', 'ECK0331', 'yahT']
prpE	352706	['ECK0332', 'yahU']
codB	354922	['ECK0333']
codA	356171	['ECK0334']
cynR	357791	['ECK0335']
cynT	358799	['ECK0336']
cynS	359489	['cnt', 'cyaN', 'ECK0337']
cynX	359992	['ECK0338']
lacA	361249	['ECK0339']
lacY	361926	['ECK0340']
lacZ	363231	['ECK0341']
lacI	366428	['ECK0342']
mhpR	367587	['ECK0343']
mhpA	368611	['ECK0344']
mhpB	370277	['ECK0345']
mhpC	371239	['ECK0346']
mhpD	372115	['ECK0347', 'mhpS']
mhpF	372921	['ECK0348']
mhpE	373868	['ECK0349']
mhpT	375459	['ECK0350', 'yaiK']
yaiL	376772	['ECK0351']
frmB	377535	['ECK0352', 'yaiM']
frmA	378462	['adhC', 'ECK0353']
frmR	379606	['ECK0354', 'yaiN']
yaiO	380069	['ECK0355']
yaiX	380844	['b0359', 'b0362', 'ECK0356', 'ECK0359', 'yaiF']
insC	381351	['ECK0357', 'yi21-1']
insD	381674	['ECK0358', 'yi22-1']
yaiX	382591	['b0359', 'b0362', 'ECK0356', 'ECK0359', 'yaiF']
yaiP	382739	['ECK0360']
ykiC	383960	['ECK4588']
yaiS	384059	['ECK0361']
tauA	385232	['ECK0362', 'ssiA', 'yaiR']
tauB	386207	['ECK0363', 'ssiB', 'yaiQ']
tauC	386971	['ECK0364', 'ssiC', 'yaiJ']
tauD	387795	['ECK0365', 'ssiD', 'yaiG']
hemB	388753	['ECK0366', 'ncf']
yaiT	390251	['b0371', 'b0374', 'ECK0368', 'ECK0369', 'yaiU']
ytiB	391592	['ECK4624']
insF	391739	['ECK0299', 'tra5-1']
insE	392602	['ECK0298']
