gene,decay
thrL,0.000375187016001449
thrA,0.0006804256241630775
thrB,0.00045489818153337456
thrC,0.000529490469995987
yaaX,0.0006008771306389927
yaaA,0.0005828723968128426
yaaJ,2.6525786297287746e-05
talB,5.6116666678867056e-05
mog,0.000929270274090965
satP,0.0005598069284214816
yaaW,0.0008861131176479407
mbiA,0.0007430569173538426
yaaI,0.00023027971782226187
dnaK,0.0007750164357263911
dnaJ,0.0003318689269889876
insL1,0.00016644847762980043
mokC,0.00028449244434883405
hokC,0.00019154337919422704
nhaA,7.090115262544416e-05
nhaR,0.00046880877041152616
insB1,0.0008036732364634968
insA1,0.0005826470594893963
rpsT,0.0009557469507817829
yaaY,0.00045461323482216175
ribF,0.00041016718137721253
ileS,0.0009738703324023853
lspA,0.00010625120915909092
fkpB,0.0008644418365678474
ispH,0.0008372124864021311
rihC,0.0008967630105544542
dapB,0.0007565930218065735
carA,4.153848000741023e-05
carB,0.0005724083468989155
caiF,0.0007859773688514306
caiE,0.0008824830664263313
caiD,0.00034087686937498617
caiC,0.00018653655819253988
caiB,0.00012305099904779483
caiA,0.0004759467923442452
caiT,0.00028033649250092276
fixA,0.00023133945101830235
fixB,0.0006847774766657504
fixC,4.938509093509613e-05
fixX,0.0003884548395541945
yaaU,0.0007347648312701988
kefF,0.0009198078496147903
kefC,0.00012223515349874103
folA,0.0009380700703680504
apaH,0.0003218650069146734
apaG,0.0008089967354583857
rsmA,0.0005137395870237774
pdxA,0.00018847223668339643
surA,0.0008278262941903173
lptD,0.0006910817608449324
djlA,0.00039506756288133803
yabP,0.0001912114852476541
yabQ,0.000462653273605984
rluA,0.0004383622581869607
rapA,0.0009697579885118848
polB,0.00030401549699386613
araD,0.0001580322574425792
araA,0.0003077970521506372
araB,0.000586754793154026
araC,0.0007912466104440541
yabI,0.0003576366220799492
thiQ,0.0009544854196256137
thiP,2.4913011413992605e-05
thiB,0.0004928756125610241
sgrR,6.109553732402352e-05
sgrT,0.00020313873632258017
setA,0.000931286264184903
leuD,0.0006902473239951077
leuC,0.0009308061944246767
leuB,0.0009236313888572879
leuA,7.883888431311615e-05
leuL,0.00039664089266271607
leuO,0.0006965913561001761
yabR,0.000280225712328922
ilvI,0.0005276189956840667
ilvH,0.0004584295057867951
cra,0.00024395799939449757
mraZ,0.0003829753468827227
rsmH,0.0009190923065386032
ftsL,0.00020079321486800205
ftsI,0.0004415725169099288
murE,0.0006280914388399941
murF,0.0009885638672572136
mraY,0.0006287594966480009
murD,0.00029448048055921017
ftsW,0.0006173880239761438
murG,0.00044419662376066714
murC,0.0002889550170425609
ddlB,0.00013127901521799756
ftsQ,0.0003327871003387641
ftsA,0.00038398013139502753
ftsZ,0.0001074630847450212
lpxC,0.00030830254315381445
secM,0.0006546071457614134
secA,0.0005755101539948663
mutT,0.0007505957519996001
yacG,0.00030191197495911716
zapD,0.0005740297345716359
coaE,0.0002047880249946501
yacM,0.00047231642326678823
guaC,0.00022093010838527082
